=====Result of the physicochemical property for each protein======

Pro_id	Hydrophobicity	MW	Half_life	pI
EMEPMPEA_00001	0.0252	13495.522	7.2	11.49
EMEPMPEA_00002	-0.8156	8248.317	7.2	5.57
EMEPMPEA_00003	-0.8127	9155.386	1.3	5.88
EMEPMPEA_00004	-0.3793	42672.691	7.2	4.75
EMEPMPEA_00005	-0.5258	24977.12	1.9	9.57
EMEPMPEA_00006	-0.7263	10043.148	1	8.25
EMEPMPEA_00007	-0.6054	25890.881	20	4.68
EMEPMPEA_00008	-0.3313	20278.768	1.9	5.18
EMEPMPEA_00009	-0.4082	37469.075	1	4.84
EMEPMPEA_00010	-0.2572	30861.686	2.8	5.17
EMEPMPEA_00011	-0.5502	17270.979	1.9	4.17
EMEPMPEA_00012	-0.3744	29831.418	1.1	4.5
EMEPMPEA_00013	-0.6169	5763.642	1	9.3
EMEPMPEA_00014	-0.2335	27657.817	4.4	4.71
EMEPMPEA_00015	-0.1289	47649.096	1	4.29
EMEPMPEA_00016	-0.1927	47983.41	1	5.57
EMEPMPEA_00017	-0.7398	51157.85	5.5	5
EMEPMPEA_00018	-0.2102	45743.27	4.4	4.16
EMEPMPEA_00019	-0.5474	11682.365	20	6.73
EMEPMPEA_00020	-0.014	34230.132	20	4.43
EMEPMPEA_00021	-0.6206	112069.425	7.2	9.56
EMEPMPEA_00022	-0.1017	42183.642	1.3	4.59
EMEPMPEA_00023	0.1792	40725.373	7.2	9.63
EMEPMPEA_00024	-0.3542	51433.094	2.8	4.31
EMEPMPEA_00025	-0.3991	69141.759	20	4.4
EMEPMPEA_00026	-0.9374	9136.02	1.9	4.6
EMEPMPEA_00027	-0.7527	9436.202	1.9	4.63
EMEPMPEA_00028	-0.4274	35659.572	4.4	4.85
EMEPMPEA_00029	-0.5831	96165.781	1.3	4.53
EMEPMPEA_00030	-0.3701	27499.118	20	4.79
EMEPMPEA_00031	-0.4828	32729.802	1.9	4.66
EMEPMPEA_00032	0.8675	31888.031	1	9.84
EMEPMPEA_00033	0.5576	34278.999	1.9	5.33
EMEPMPEA_00034	-0.1468	37582.758	30	4.28
EMEPMPEA_00035	-0.3829	27065.804	1.1	4.67
EMEPMPEA_00036	0.7905	46315.865	1	9.5
EMEPMPEA_00037	-0.1128	25269.498	4.4	5.55
EMEPMPEA_00038	-0.6479	84178.979	30	4.79
EMEPMPEA_00039	-0.3658	40039.772	7.2	6.06
EMEPMPEA_00040	-0.5502	21481.691	20	4.46
EMEPMPEA_00041	-0.6269	24059.957	1	4.85
EMEPMPEA_00042	0.5195	13837.994	1.4	4.84
EMEPMPEA_00043	-0.2619	10356.691	1.9	5.07
EMEPMPEA_00044	-0.002	68949.615	7.2	5.46
EMEPMPEA_00045	-0.2514	18266.538	1.1	4.49
EMEPMPEA_00046	-1.063	9902.968	4.4	4.93
EMEPMPEA_00047	-0.0989	65240.008	0.8	4.43
EMEPMPEA_00048	-0.4026	4168.491	3.5	4.12
EMEPMPEA_00049	-0.3972	8316.397	1.3	4.69
EMEPMPEA_00050	-0.1278	58559.692	20	4.91
EMEPMPEA_00051	-0.5642	23566.997	4.4	5.25
EMEPMPEA_00052	0.0299	22985.273	1	6.2
EMEPMPEA_00053	-0.676	60829.543	1.1	6.86
EMEPMPEA_00054	0.6769	33449.904	7.2	9.03
EMEPMPEA_00055	-0.3251	13208.884	4.4	4.6
EMEPMPEA_00056	-0.6095	23251.799	1.3	5.47
EMEPMPEA_00057	-0.4538	100065.161	7.2	6.21
EMEPMPEA_00058	-0.5762	6643.352	4.4	5.65
EMEPMPEA_00059	-0.3691	7048.782	7.2	6.54
EMEPMPEA_00060	-0.5654	66083.295	1.3	4.39
EMEPMPEA_00061	-0.362	115386.799	0.8	4.41
EMEPMPEA_00062	-0.2144	60042.611	3.5	4.7
EMEPMPEA_00063	-0.4508	6388.166	0.8	4.71
EMEPMPEA_00064	-0.5148	56926.519	20	5.21
EMEPMPEA_00065	-0.1193	32542.942	1.3	6.14
EMEPMPEA_00066	-0.4099	37912.715	1.9	4.53
EMEPMPEA_00067	-0.3716	64744.549	1	5.81
EMEPMPEA_00068	-0.5109	36017.848	4.4	4.64
EMEPMPEA_00069	-0.2621	72279.189	1.9	4.57
EMEPMPEA_00070	-0.3364	78896.985	1	4.59
EMEPMPEA_00071	-0.431	24359.025	20	4.19
EMEPMPEA_00072	-0.6802	23357.781	20	4.45
EMEPMPEA_00073	-0.2915	37334.615	4.4	4.75
EMEPMPEA_00074	-0.4173	18773.22	1	10.13
EMEPMPEA_00075	-0.7373	90781.447	1.9	4.64
EMEPMPEA_00076	-0.473	55042.097	4.4	4.6
EMEPMPEA_00077	-0.6175	74101.624	100	7.15
EMEPMPEA_00078	-0.6064	33324.657	20	8.48
EMEPMPEA_00079	-0.6312	52467.234	1	9.47
EMEPMPEA_00080	-0.1306	36738.559	20	4.38
EMEPMPEA_00081	-0.396	29028.411	1.1	4.33
EMEPMPEA_00082	0.2222	18557.504	20	9.91
EMEPMPEA_00083	-0.3688	30158.553	1.1	4.44
EMEPMPEA_00084	0.1	15191.379	20	5.27
EMEPMPEA_00085	-0.2775	26720.919	1.1	11.63
EMEPMPEA_00086	-0.3564	20479.64	1	4.23
EMEPMPEA_00087	-0.0779	12317.864	7.2	4.6
EMEPMPEA_00088	-0.7567	8378.487	30	9.5
EMEPMPEA_00089	-0.5426	10612.073	1	5.18
EMEPMPEA_00090	-0.1506	51830.385	1.9	5.12
EMEPMPEA_00091	-0.2816	22794.02	1.1	4.03
EMEPMPEA_00092	-0.6685	72094.447	1.9	5.65
EMEPMPEA_00093	-0.1173	23890.803	1.3	4.56
EMEPMPEA_00094	-0.4428	25151.877	1.1	4.95
EMEPMPEA_00095	-0.2129	18361.284	5.5	4.2
EMEPMPEA_00096	-0.3443	36832.411	20	5.12
EMEPMPEA_00097	0.2967	3312.89	20	6.2
EMEPMPEA_00098	-0.2175	43223.124	20	5.71
EMEPMPEA_00099	0.2447	8117.489	30	4.67
EMEPMPEA_00100	-0.2193	28325.851	0.8	9.97
EMEPMPEA_00101	-0.4372	63127.46	7.2	9.95
EMEPMPEA_00102	0.3591	43024.968	5.5	7.03
EMEPMPEA_00103	-0.192	23544.321	1	5.24
EMEPMPEA_00104	-0.4021	20200.626	1	4.46
EMEPMPEA_00105	-0.4044	16503.386	20	4.36
EMEPMPEA_00106	-0.2522	12076.646	20	6.2
EMEPMPEA_00107	-0.1403	28777.364	5.5	4.66
EMEPMPEA_00108	-0.2089	29485.207	20	4.58
EMEPMPEA_00109	-0.7593	7523.173	0.8	4.41
EMEPMPEA_00110	-0.3067	53218.1	20	4.16
EMEPMPEA_00111	0.5634	14309.887	0.8	10.47
EMEPMPEA_00112	-0.5305	31464.088	2.8	4.46
EMEPMPEA_00113	-0.3898	36301.209	3.5	4.64
EMEPMPEA_00114	-0.3574	78702.447	1.4	4.6
EMEPMPEA_00115	-1.0567	10536.834	20	5.79
EMEPMPEA_00116	-0.388	34763.114	1.3	4.99
EMEPMPEA_00117	-0.3553	26539.042	1.9	5.1
EMEPMPEA_00118	-0.7984	15677.532	1.9	4.82
EMEPMPEA_00119	-0.8096	107279.168	4.4	4.39
EMEPMPEA_00120	-0.6178	62515.407	1	4.28
EMEPMPEA_00121	-0.447	17628.949	1.4	4.64
EMEPMPEA_00122	-0.9093	40414.757	7.2	4.77
EMEPMPEA_00123	-0.2113	44212.639	4.4	4.53
EMEPMPEA_00124	-0.2858	53362.194	1.9	4.36
EMEPMPEA_00125	-1.0911	11872.932	1.1	4.43
EMEPMPEA_00126	-0.2799	12552.86	4.4	4.27
EMEPMPEA_00127	-0.3462	18136.928	1.9	4.6
EMEPMPEA_00128	0.4065	45274.653	20	6.86
EMEPMPEA_00129	-0.3859	61958.9	1.4	4.69
EMEPMPEA_00130	0.5188	16860.501	30	4.4
EMEPMPEA_00131	0.63	3335.84	100	5.12
EMEPMPEA_00132	0.0308	17605.996	20	6.82
EMEPMPEA_00133	-0.3594	34657.064	1.9	4.95
EMEPMPEA_00134	-0.4052	99479.149	30	5.21
EMEPMPEA_00135	-0.6181	43524.088	1.9	4.36
EMEPMPEA_00137	-0.3801	44980.053	20	4.87
EMEPMPEA_00138	-0.6045	28904.021	1.2	5.2
EMEPMPEA_00139	-0.1562	20641.123	4.4	5.27
EMEPMPEA_00140	-0.0324	38860.277	4.4	5.64
EMEPMPEA_00141	-0.2764	169724.159	5.5	5.18
EMEPMPEA_00142	-1.1239	22669.654	1	5.34
EMEPMPEA_00143	-0.4179	36531.793	1.9	4.5
EMEPMPEA_00144	-0.9124	23685.112	4.4	9.84
EMEPMPEA_00145	-0.6036	14222.051	4.4	10.05
EMEPMPEA_00146	-1.2873	14763.733	20	10.15
EMEPMPEA_00147	-0.4944	8422.833	4.4	9
EMEPMPEA_00148	-0.2553	31755.621	1	5.25
EMEPMPEA_00149	0.5449	48220.711	4.4	9.71
EMEPMPEA_00150	-0.723	16857.654	1.1	6.22
EMEPMPEA_00151	-0.337	18600.291	4.4	10.09
EMEPMPEA_00152	-0.7394	13275.772	4.4	5.46
EMEPMPEA_00153	-0.3613	20151.819	4.4	5.5
EMEPMPEA_00154	-0.5225	15076.235	1.9	8.79
EMEPMPEA_00155	-1.0718	10769.633	4.4	10.07
EMEPMPEA_00156	-0.5208	21792.396	4.4	4.39
EMEPMPEA_00157	-0.8913	15696.809	1.1	9.32
EMEPMPEA_00158	-0.2679	13314.128	20	8.92
EMEPMPEA_00159	-1.2906	12670.086	1	5.16
EMEPMPEA_00160	-0.8881	8060.112	1.1	4.97
EMEPMPEA_00161	-0.8691	16456.995	5.5	10.14
EMEPMPEA_00162	-0.6944	27014.931	30	10.37
EMEPMPEA_00163	-0.6232	13822.865	0.8	9.87
EMEPMPEA_00164	-0.7432	11254.852	20	9.79
EMEPMPEA_00165	-1.0269	31296.395	1.9	10.15
EMEPMPEA_00166	-0.7706	11430.031	1.9	6.32
EMEPMPEA_00167	-0.5681	24303.058	1.1	4.95
EMEPMPEA_00168	-0.5656	23018.003	1.9	8.46
EMEPMPEA_00169	-0.2255	17817.024	7.2	5.07
EMEPMPEA_00170	-0.4611	11620.437	4.4	9.47
EMEPMPEA_00171	-0.3201	43858.198	4.4	4.45
EMEPMPEA_00172	-0.5374	11208.492	1	4.86
EMEPMPEA_00173	-0.1062	9045.546	20	9.59
EMEPMPEA_00174	-0.9981	6455.052	30	4.87
EMEPMPEA_00175	1.0732	48264.148	4.4	4.4
EMEPMPEA_00176	0.2553	16927.667	20	9.68
EMEPMPEA_00177	-0.219	21617.368	30	5.05
EMEPMPEA_00178	-0.3647	110242.621	1	5.24
EMEPMPEA_00179	0.1118	41805.138	7.2	6.85
EMEPMPEA_00180	0.192	8343.566	5.5	4.23
EMEPMPEA_00181	-0.4946	16463.24	4.4	4.53
EMEPMPEA_00182	-0.4618	86551.714	7.2	4.98
EMEPMPEA_00183	-0.1548	27627.861	4.4	4.77
EMEPMPEA_00184	-0.4629	51454.808	4.4	4.66
EMEPMPEA_00185	-0.1911	16324.128	1.9	4.38
EMEPMPEA_00186	0.8779	57611.871	20	4.45
EMEPMPEA_00187	-0.4273	102371.51	1	4.54
EMEPMPEA_00188	-0.3567	37321.228	20	5.25
EMEPMPEA_00189	-0.2307	34938.924	0.8	4.01
EMEPMPEA_00190	-0.3023	92298.643	1.9	4.95
EMEPMPEA_00191	-0.3641	28023.535	1	4.91
EMEPMPEA_00192	-0.4843	48212.649	2.8	4.81
EMEPMPEA_00193	-0.6177	56402.596	0.8	5.14
EMEPMPEA_00194	0.1259	47379.241	1.3	8.85
EMEPMPEA_00195	0.5656	10155.08	0.8	11.24
EMEPMPEA_00196	0.2181	44816.131	1	9.31
EMEPMPEA_00197	-0.2433	46751.693	4.4	5.26
EMEPMPEA_00198	-0.3746	15895.317	30	4.3
EMEPMPEA_00199	-0.3638	15871.937	1	6.91
EMEPMPEA_00200	-0.482	29454.771	20	4.3
EMEPMPEA_00201	0.1421	46765.003	4.4	6.42
EMEPMPEA_00203	-0.4937	33020.907	1.9	5.19
EMEPMPEA_00204	-0.487	42408.86	7.2	5.05
EMEPMPEA_00205	0.3122	4279.853	2.8	5.36
EMEPMPEA_00206	0.1058	34160.887	3.5	3.98
EMEPMPEA_00207	-0.3704	21758.613	1.9	4.55
EMEPMPEA_00208	-0.286	23489.617	4.4	4.43
EMEPMPEA_00209	-0.3454	36247.493	1.9	4.66
EMEPMPEA_00210	-0.3845	31168.858	1.1	4.61
EMEPMPEA_00211	-0.0758	37115.947	1.4	4.97
EMEPMPEA_00212	-0.3424	25481.165	4.4	4.59
EMEPMPEA_00213	-0.2898	61778.759	1.4	4.49
EMEPMPEA_00214	-0.3417	38763.634	30	4.9
EMEPMPEA_00215	-0.1725	24957.263	1.3	4.68
EMEPMPEA_00216	-0.4375	74037.513	4.4	5.04
EMEPMPEA_00217	-0.3505	53030.366	7.2	4.45
EMEPMPEA_00218	-0.4806	40977.601	4.4	4.39
EMEPMPEA_00219	-0.468	58792.112	1.4	4.66
EMEPMPEA_00220	0.4745	5660.632	1.4	6.69
EMEPMPEA_00221	-0.4828	4623.232	20	9.29
EMEPMPEA_00222	-0.5689	27009.94	4.4	4.77
EMEPMPEA_00223	0.1736	34655.587	7.2	4.48
EMEPMPEA_00224	-0.2174	39644.443	1.9	4.86
EMEPMPEA_00225	-0.1455	46074.586	1.9	4.67
EMEPMPEA_00226	-0.4606	25630.184	7.2	4.37
EMEPMPEA_00227	-0.7473	11061.176	1.1	4.55
EMEPMPEA_00228	-0.6124	12240.356	1.4	4.37
EMEPMPEA_00229	-0.4683	8175.69	7.2	3.87
EMEPMPEA_00230	-0.1177	33219.838	1	4.33
EMEPMPEA_00231	-0.6692	7808.717	30	10.2
EMEPMPEA_00232	-0.5928	30326.106	20	4.6
EMEPMPEA_00233	-0.7713	5621.467	1.4	8.93
EMEPMPEA_00234	-0.8603	10725.27	1.1	4.2
EMEPMPEA_00235	0.1627	31235.622	1	3.99
EMEPMPEA_00236	-0.4495	12333.323	1.4	4.85
EMEPMPEA_00237	-0.3882	26347.46	1.9	4.31
EMEPMPEA_00238	0.6141	32477.985	5.5	9.66
EMEPMPEA_00239	-0.1938	30399.699	5.5	4.39
EMEPMPEA_00240	-0.8383	38741.611	7.2	4.12
EMEPMPEA_00241	-0.7539	128572.865	30	4.16
EMEPMPEA_00242	-0.4407	28543.972	5.5	9.19
EMEPMPEA_00243	-0.6797	36464.646	30	9.13
EMEPMPEA_00244	-0.1356	31012.139	5.5	5.14
EMEPMPEA_00245	-0.3832	32544.631	1	4.52
EMEPMPEA_00246	-0.2809	35462.018	3.5	5.13
EMEPMPEA_00247	-0.4761	29000.797	20	9.98
EMEPMPEA_00248	0.1533	66545.383	20	8.78
EMEPMPEA_00249	-0.1818	54020.452	1.9	4.34
EMEPMPEA_00250	-0.1138	17956.596	30	7.85
EMEPMPEA_00251	-0.4774	90667.686	4.4	5.29
EMEPMPEA_00252	0.0222	12607.122	1.1	4.64
EMEPMPEA_00253	-0.3562	25703.004	1.9	4.94
EMEPMPEA_00254	-0.4526	28570.503	20	4.2
EMEPMPEA_00255	-0.3982	25920.988	1.9	4.63
EMEPMPEA_00256	-0.3581	36146.133	1.3	4.8
EMEPMPEA_00257	-0.1925	21715.129	5.5	4.46
EMEPMPEA_00258	-0.4827	11746.431	1.1	10.32
EMEPMPEA_00259	0.5129	15452.922	4.4	4.79
EMEPMPEA_00260	0.4789	25895.968	4.4	5.56
EMEPMPEA_00261	0.4966	63968.417	1.9	5.95
EMEPMPEA_00262	-0.2678	35806.498	30	4.63
EMEPMPEA_00263	-0.3859	27741.702	1.1	4.48
EMEPMPEA_00264	0.479	48111.245	4.4	6.72
EMEPMPEA_00265	-0.452	23577.513	0.8	6.09
EMEPMPEA_00266	0.1801	21745.624	20	4.6
EMEPMPEA_00267	0.3805	57836.427	1	6.43
EMEPMPEA_00268	-0.6715	127473.863	20	4.57
EMEPMPEA_00269	-0.4672	24439.869	20	7.61
EMEPMPEA_00270	-0.6705	42532.037	1	5.43
EMEPMPEA_00271	-0.2183	13016.409	30	8.67
EMEPMPEA_00272	0.0544	8783.854	7.2	4.05
EMEPMPEA_00273	-0.3876	15896.853	1.9	6.51
EMEPMPEA_00274	-0.2065	17749.611	20	4.45
EMEPMPEA_00275	-0.4015	13524.349	20	5.43
EMEPMPEA_00276	-0.2371	65296.353	7.2	4.45
EMEPMPEA_00277	-0.6252	18270.274	5.5	5.6
EMEPMPEA_00278	-0.7194	19059.073	1	4.67
EMEPMPEA_00279	0.7851	15951.735	1	6.23
EMEPMPEA_00280	0.6738	8576.108	2.8	9.81
EMEPMPEA_00281	0.1604	17079.075	1.9	4.17
EMEPMPEA_00282	-0.2773	79767.584	1.9	4.41
EMEPMPEA_00283	-0.9454	3620.029	1.9	5.09
EMEPMPEA_00284	-0.3179	26694.872	2.8	4.78
EMEPMPEA_00285	-0.8432	7478.083	20	4.64
EMEPMPEA_00286	-0.3651	110668.972	1.9	4.54
EMEPMPEA_00287	-0.0029	13476.528	1.4	10.67
EMEPMPEA_00288	-0.4849	4161.698	20	8.38
EMEPMPEA_00289	-0.3804	15777.982	7.2	11.5
EMEPMPEA_00290	0.5786	7377.325	1.4	3.98
EMEPMPEA_00291	-0.6757	19998.986	1.3	4.66
EMEPMPEA_00292	-0.2141	23474.064	1.4	4.58
EMEPMPEA_00293	-0.3071	25772.504	1.1	4.37
EMEPMPEA_00294	-0.411	48708.668	20	4.34
EMEPMPEA_00295	-0.6008	12112.202	1.1	3.69
EMEPMPEA_00296	0.9726	11578.311	5.5	4.02
EMEPMPEA_00297	-1.2996	35812.42	1	11.91
EMEPMPEA_00298	-0.2887	13872.567	1.9	4.88
EMEPMPEA_00299	-0.3723	12516.882	1.9	4.72
EMEPMPEA_00300	-0.4355	21759.212	30	4.33
EMEPMPEA_00301	-0.2098	55341.134	1.4	4.39
EMEPMPEA_00302	-0.6312	43765.918	1.9	4.19
EMEPMPEA_00303	-0.4398	40112.259	7.2	4.33
EMEPMPEA_00304	-0.8853	5711.084	1.2	4.06
EMEPMPEA_00305	-1.056	6815.609	1	7.92
EMEPMPEA_00306	-0.2683	42282.01	7.2	4.28
