=====Result of the physicochemical property for each protein======

Pro_id	Hydrophobicity	MW	Half_life	pI
OHJFLJPL_00001	0.0692	4299.903	1	4.43
OHJFLJPL_00002	-0.6231	31257.253	1.4	5.08
OHJFLJPL_00003	-0.0503	111451.009	7.2	5.9
OHJFLJPL_00004	-0.5805	58883.249	7.2	8.34
OHJFLJPL_00005	-0.5412	32674.694	1	4.96
OHJFLJPL_00006	0.6634	48099.554	0.8	5.52
OHJFLJPL_00007	1.0885	9886.951	4.4	9.39
OHJFLJPL_00008	-0.0793	40691.282	1.3	4.97
OHJFLJPL_00009	-0.684	12081.194	1	4.2
OHJFLJPL_00010	-0.0037	14736.329	30	9.99
OHJFLJPL_00011	-0.1457	42798.434	1.1	5.79
OHJFLJPL_00012	-0.6898	18291.563	1	4.96
OHJFLJPL_00013	-0.5313	19955.489	1	4.52
OHJFLJPL_00014	-0.2357	56810.739	1.9	5.84
OHJFLJPL_00015	-0.4113	18160.728	20	8.8
OHJFLJPL_00016	-0.5544	76951.053	1	5.77
OHJFLJPL_00017	-0.1608	18072.972	1.9	4.75
OHJFLJPL_00018	-0.2334	24545.412	1.3	8.96
OHJFLJPL_00019	-0.0507	33981.688	100	4.64
OHJFLJPL_00020	-0.5437	29280.257	1.4	7.71
OHJFLJPL_00021	-0.0603	22954.107	20	5.61
OHJFLJPL_00022	0.0209	19360.22	1.9	4.95
OHJFLJPL_00023	-0.3748	49258.233	5.5	9.21
OHJFLJPL_00024	0.3633	55521.483	1.1	5.76
OHJFLJPL_00025	-0.4484	7530.538	100	6.81
OHJFLJPL_00026	-0.1312	22097.124	1.9	5.03
OHJFLJPL_00027	-0.8494	12184.635	0.8	4.61
OHJFLJPL_00028	-0.3639	72721.742	1.9	5.71
OHJFLJPL_00029	0.1743	3726.262	4.4	4.94
OHJFLJPL_00030	-0.109	20974.865	5.5	4.6
OHJFLJPL_00031	-0.3755	80598.609	3.5	9.28
OHJFLJPL_00032	-0.2352	35560.235	1.1	5.34
OHJFLJPL_00033	-0.4249	23764.75	4.4	5.11
OHJFLJPL_00034	-0.279	15314.378	1.3	7.81
OHJFLJPL_00035	-0.1188	62423.563	30	5.83
OHJFLJPL_00036	0.1228	35019.213	1.3	8.34
OHJFLJPL_00037	0.0714	21887.055	7.2	5.11
OHJFLJPL_00038	-0.2389	41391.993	2.8	5.06
OHJFLJPL_00039	-0.5904	8362.273	20	6.24
OHJFLJPL_00040	-0.4219	51598.156	7.2	9.22
OHJFLJPL_00041	0.1723	34522.435	7.2	5.51
OHJFLJPL_00042	-0.945	11844.166	7.2	5.3
OHJFLJPL_00043	-0.0145	43121.101	30	4.84
OHJFLJPL_00044	0.5545	25001.446	1.1	8.51
OHJFLJPL_00045	0.5406	17491.88	1.9	5.74
OHJFLJPL_00046	0.5514	4338.104	1	4.86
OHJFLJPL_00047	0.497	7971.74	100	10.92
OHJFLJPL_00048	-0.0569	12751.592	4.4	9.51
OHJFLJPL_00049	0.6774	9055.824	30	5.63
OHJFLJPL_00050	-0.2149	22751.121	30	8.61
OHJFLJPL_00051	-0.5182	25761.713	2.8	5.16
OHJFLJPL_00052	-0.4886	16277.515	7.2	8.52
OHJFLJPL_00053	-1.0929	5570.306	1.3	8.08
OHJFLJPL_00054	-0.5394	20213.41	1.2	10
OHJFLJPL_00055	-0.4834	75076.253	7.2	4.77
OHJFLJPL_00056	-0.5267	100098.115	0.8	5.12
OHJFLJPL_00057	-0.7059	20130.823	30	8.92
