=====Result of the physicochemical property for each protein======

Pro_id	Hydrophobicity	MW	Half_life	pI
LNDAHFLC_00001	-0.2838	88218.702	0.8	4.92
LNDAHFLC_00002	-0.2856	118424.356	7.2	5.79
LNDAHFLC_00003	-0.0977	20327.856	1.1	4.79
LNDAHFLC_00004	-0.1093	43654.757	20	8.75
LNDAHFLC_00005	-0.3946	48860.638	1.3	8.8
LNDAHFLC_00006	-0.2681	47576.721	1.3	8.69
LNDAHFLC_00007	0.2605	39068.83	5.5	9.77
LNDAHFLC_00008	-0.1658	45641.176	4.4	7.13
LNDAHFLC_00009	-0.0943	43386.719	7.2	7.18
LNDAHFLC_00010	0.8678	41378.968	5.5	8.84
LNDAHFLC_00011	-0.0923	44684.235	4.4	7.76
LNDAHFLC_00012	-0.1456	21780.031	1.3	4.39
LNDAHFLC_00013	-0.3326	29631.026	100	8.99
LNDAHFLC_00014	0.6044	51278.293	1.9	8.46
LNDAHFLC_00015	-0.2952	43450.755	3.5	7.29
LNDAHFLC_00016	-0.0711	42394.801	20	8.46
LNDAHFLC_00017	-0.2302	46366.239	1	6.71
LNDAHFLC_00018	-0.0349	43540.039	30	6.04
LNDAHFLC_00019	-0.3948	67987.914	1.9	5.16
LNDAHFLC_00020	-0.2189	48039.316	20	9.04
LNDAHFLC_00021	-0.2281	33017.942	1.9	6.75
LNDAHFLC_00022	-0.2651	59377.886	30	6.39
LNDAHFLC_00023	-0.3735	78758.746	7.2	4.87
LNDAHFLC_00024	-0.4722	11472.487	4.4	3.72
LNDAHFLC_00025	-0.5088	39180.96	3.5	5
LNDAHFLC_00026	-0.5373	102296.477	1.4	9.05
LNDAHFLC_00027	-0.3559	29815.833	0.8	4.6
LNDAHFLC_00028	0.6889	13177.765	0.8	9.67
LNDAHFLC_00029	0.6785	27152.825	1	4.68
LNDAHFLC_00030	-0.5444	18451.526	7.2	4.46
LNDAHFLC_00031	-0.5625	20281.885	1	5.1
LNDAHFLC_00032	-0.1053	20421.535	1.3	5.56
LNDAHFLC_00033	-0.1291	54849.305	4.4	4.82
LNDAHFLC_00034	-0.2342	35088.817	4.4	4.97
LNDAHFLC_00035	-0.4247	11502.692	1.9	4.44
LNDAHFLC_00036	-0.2894	55380.144	7.2	5.64
LNDAHFLC_00037	0.1043	37552.767	1.4	5.85
LNDAHFLC_00038	1.0547	18481.253	100	9.57
LNDAHFLC_00039	0.1035	18987.849	4.4	6.5
LNDAHFLC_00040	-0.1096	7263.589	1	11.08
LNDAHFLC_00041	-0.097	89748.221	100	5.15
LNDAHFLC_00042	0.3551	5421.179	1.9	5.2
LNDAHFLC_00043	-0.342	49926.321	100	5.71
LNDAHFLC_00044	-0.2707	39525.702	7.2	4.94
LNDAHFLC_00045	0.1355	3737.638	1	11.16
LNDAHFLC_00046	-0.1868	65118.165	20	5.94
LNDAHFLC_00047	-0.1726	52550.303	20	8.74
LNDAHFLC_00048	0.8171	30897.477	2.8	7.58
