=====Result of the physicochemical property for each protein======

Pro_id	Hydrophobicity	MW	Half_life	pI
LLGCMKLC_00001	0.4806	13309.146	20	4.2
LLGCMKLC_00002	-0.0618	6659.517	7.2	6.07
LLGCMKLC_00003	-0.999	11635.759	1.9	4.44
LLGCMKLC_00004	-0.255	7425.145	7.2	4.3
LLGCMKLC_00005	-0.6904	11220.304	1.2	5.13
LLGCMKLC_00006	-0.4239	32425.581	1	4.14
LLGCMKLC_00007	-0.5781	16033.682	7.2	4.87
LLGCMKLC_00008	-0.666	21590.601	1.4	4.44
LLGCMKLC_00009	-0.3585	10855.22	1.9	4.91
LLGCMKLC_00010	-0.4005	17350.875	30	3.92
LLGCMKLC_00011	-0.7353	7064.712	1.1	5.3
LLGCMKLC_00012	-0.5999	6371.148	1.9	9.29
LLGCMKLC_00013	-0.5339	96425.457	7.2	4.61
LLGCMKLC_00014	0.5165	11787.823	5.5	6.18
LLGCMKLC_00015	-0.7701	13739.642	1.1	3.88
LLGCMKLC_00016	-0.656	106605.689	7.2	4.51
LLGCMKLC_00017	-0.663	42371.076	1.9	7.67
LLGCMKLC_00018	-0.0103	43626.951	20	5.63
LLGCMKLC_00019	-0.7063	72596.843	1.3	5.03
LLGCMKLC_00020	-0.1888	45058.352	1.9	4.31
LLGCMKLC_00021	-0.0227	77295.12	1.9	4.54
LLGCMKLC_00022	0.6005	19906.978	1.3	5.36
LLGCMKLC_00023	-0.4541	14449.851	4.4	4.24
LLGCMKLC_00024	-0.5509	22525.691	1	10.95
LLGCMKLC_00025	0.8437	17778.115	2.8	6.89
LLGCMKLC_00026	-0.5599	29162.065	7.2	4.82
LLGCMKLC_00027	-1.0659	5577.204	1	4.72
LLGCMKLC_00028	-0.9341	8398.077	7.2	5.07
LLGCMKLC_00029	-1.1079	22803.981	1.9	6.4
LLGCMKLC_00030	-0.6041	98069.488	20	4.24
LLGCMKLC_00031	1.9435	5292.631	100	8.25
LLGCMKLC_00032	-0.626	152263.682	1.9	4.36
LLGCMKLC_00033	-0.4833	37195.411	1.9	4.43
LLGCMKLC_00034	-0.6535	24524.164	7.2	4.29
LLGCMKLC_00035	-0.5908	70018.03	7.2	4.61
LLGCMKLC_00036	-0.6626	26924.382	7.2	4.47
LLGCMKLC_00037	-0.4874	40954.419	20	4.32
LLGCMKLC_00038	-0.2073	14291.812	5.5	4.6
LLGCMKLC_00039	-0.797	15413.857	1.9	4.73
LLGCMKLC_00040	-0.7154	25154.312	20	4.5
LLGCMKLC_00041	-0.3776	43411.563	100	4.06
LLGCMKLC_00042	-0.4236	17072.78	5.5	4.28
LLGCMKLC_00043	-0.8867	4472.919	1.1	5.48
LLGCMKLC_00044	-0.3343	45796.441	100	4.38
LLGCMKLC_00045	-0.6777	43104.909	20	4.35
LLGCMKLC_00046	-0.5201	69296.246	5.5	4.4
LLGCMKLC_00047	-0.5608	46860.125	20	4.37
LLGCMKLC_00048	-0.2043	17520.713	1.9	4.42
LLGCMKLC_00049	-0.7049	15639.23	20	5.15
LLGCMKLC_00050	0.2577	96425.056	4.4	4.15
LLGCMKLC_00051	-0.7364	18623.366	1.4	4.03
