=====Result of the physicochemical property for each protein======

Pro_id	Hydrophobicity	MW	Half_life	pI
DHEOAPHF_00001	0.0093	33744.93	1.4	4.88
DHEOAPHF_00002	0.0193	51455.144	1	4.65
DHEOAPHF_00003	-0.3039	26736.712	1.2	4.93
DHEOAPHF_00004	-0.6503	13486.806	1.9	4.19
DHEOAPHF_00005	-0.8504	19636.969	7.2	3.38
DHEOAPHF_00006	-0.4734	16691.423	7.2	4.54
DHEOAPHF_00007	-0.2012	16294.965	7.2	4.48
DHEOAPHF_00008	-0.3103	71000.506	7.2	4.15
DHEOAPHF_00009	-0.2304	15374.164	1.9	4.38
DHEOAPHF_00010	-0.5012	17841.797	4.4	4.52
DHEOAPHF_00011	1.0059	29824.339	100	10.42
DHEOAPHF_00012	-0.4381	51718.699	1	3.17
DHEOAPHF_00013	-0.4973	17049.956	4.4	5.96
DHEOAPHF_00014	-0.3343	7224.167	1.3	3.83
DHEOAPHF_00015	0.1074	20044.479	7.2	4.71
DHEOAPHF_00016	-0.6938	40873.659	1.4	4.39
DHEOAPHF_00017	-0.3769	32580.54	0.8	4.25
DHEOAPHF_00018	-0.2806	27646.561	0.8	4.7
DHEOAPHF_00019	-0.3095	13106.569	1.1	4.31
DHEOAPHF_00020	0.0335	15927.488	7.2	4.27
DHEOAPHF_00021	-0.5248	55306.377	7.2	4.36
DHEOAPHF_00022	-0.1705	45189.374	3.5	4.31
DHEOAPHF_00023	-0.9485	34764.659	1	12.38
DHEOAPHF_00024	-0.3515	17909.018	1.9	4.4
DHEOAPHF_00025	-0.1864	12111.857	20	9.5
DHEOAPHF_00026	-0.1843	7199.331	0.8	9.46
DHEOAPHF_00027	-0.3761	23283.703	1	4.34
DHEOAPHF_00028	1.1865	39466.067	1	9.12
DHEOAPHF_00029	-0.4025	11599.985	1	3.26
DHEOAPHF_00030	-0.3506	36500.534	1.9	3.88
DHEOAPHF_00031	-0.5046	23432.838	4.4	4.15
DHEOAPHF_00032	0.1881	35071.874	5.5	6.18
DHEOAPHF_00033	0.961	10620.667	20	9.95
DHEOAPHF_00034	-0.2909	16434.566	1.9	4.94
DHEOAPHF_00035	-0.0044	30236.129	1.1	5.1
DHEOAPHF_00036	-0.2373	17111.65	4.4	3.62
DHEOAPHF_00037	0.1194	7211.189	30	4.56
DHEOAPHF_00038	1.2556	5644.811	1.1	9.62
DHEOAPHF_00039	-0.5258	41373.896	30	4.46
DHEOAPHF_00040	0.493	16596.268	7.2	9.68
DHEOAPHF_00041	-0.6895	28762.287	1.1	4.24
DHEOAPHF_00042	-0.5912	116695.07	7.2	3.6
DHEOAPHF_00043	0.7679	33965.968	1.9	6.73
DHEOAPHF_00044	-0.1514	36685.923	7.2	4.54
DHEOAPHF_00045	0.6866	34699.767	5.5	4.89
DHEOAPHF_00046	0.085	27872.199	5.5	4.43
DHEOAPHF_00047	-0.5368	35903.056	1.9	3.84
DHEOAPHF_00048	-0.3002	36277.201	4.4	4.48
DHEOAPHF_00049	-0.3491	73923.896	1.4	3.79
DHEOAPHF_00050	-0.4073	30377.894	20	3.75
DHEOAPHF_00052	-1.2095	6309.835	7.2	4.71
DHEOAPHF_00053	-0.1808	12236.72	4.4	4.65
DHEOAPHF_00054	-0.9401	13101.209	20	4.69
DHEOAPHF_00055	-0.6462	20588.546	7.2	4.41
DHEOAPHF_00056	0.0043	5177.877	7.2	4.25
DHEOAPHF_00057	-0.9328	7958.886	7.2	11.57
DHEOAPHF_00058	-0.6461	10114.136	30	5.19
DHEOAPHF_00059	-0.8512	20555.808	1.9	11.13
DHEOAPHF_00060	0.814	8310.155	5.5	3.76
DHEOAPHF_00061	-0.4332	7646.629	1.9	4.59
DHEOAPHF_00062	-0.3592	33305.209	1.4	4.38
DHEOAPHF_00063	-0.0698	25007.331	1	4.53
DHEOAPHF_00064	-0.2193	29338.445	20	5.41
DHEOAPHF_00065	-0.2852	33930.758	0.8	8.66
DHEOAPHF_00066	-0.0872	6994.919	1	4.36
DHEOAPHF_00067	0.6684	26945.976	4.4	9.04
DHEOAPHF_00068	0.5	43356.363	5.5	9.2
DHEOAPHF_00069	-0.1458	11513.276	2.8	6.89
DHEOAPHF_00070	0.3258	7177.31	100	5.26
DHEOAPHF_00071	-0.1844	23363.77	1	4.43
DHEOAPHF_00072	-0.2831	52173.562	5.5	4.42
DHEOAPHF_00073	-0.3461	60156.033	7.2	5.6
DHEOAPHF_00074	-0.065	11663.319	1.9	4.93
DHEOAPHF_00075	0.8403	13932.679	30	11
DHEOAPHF_00076	-0.1723	76959.371	1.4	5.8
DHEOAPHF_00077	-0.3063	91140.721	1	5.79
DHEOAPHF_00078	-0.2533	50615.462	1	5.07
DHEOAPHF_00079	-0.6852	46071.973	2.8	5.95
DHEOAPHF_00080	-0.416	38212.33	100	5.12
DHEOAPHF_00081	-1.2434	22708.289	1.9	9.18
DHEOAPHF_00082	-0.4509	67783.206	5.5	6.05
DHEOAPHF_00083	0.4199	43913.544	7.2	8.82
DHEOAPHF_00084	-0.2734	14732.586	1.9	6.03
DHEOAPHF_00085	0.3477	4826.631	4.4	5.97
DHEOAPHF_00086	0.1458	5117.952	5.5	5.6
DHEOAPHF_00087	0.604	49753.31	0.8	5.6
DHEOAPHF_00088	0.012	53087.355	4.4	5.22
DHEOAPHF_00089	-0.6933	24871.087	1	9.06
DHEOAPHF_00090	-0.5168	38161.855	100	4.83
DHEOAPHF_00091	0.134	20186.832	4.4	4.34
DHEOAPHF_00092	0.0779	21256.375	7.2	8.6
DHEOAPHF_00093	-0.3329	20418.909	1.1	4.54
DHEOAPHF_00094	-0.2825	36679.731	1.9	9.39
DHEOAPHF_00095	0.4359	78003.189	20	5.02
