=====Result of the physicochemical property for each protein======

Pro_id	Hydrophobicity	MW	Half_life	pI
PMDCDLLF_00001	-0.0949	15737.983	1.3	5.07
PMDCDLLF_00002	-0.3889	45706.953	1.4	9.54
PMDCDLLF_00003	-0.307	43326.513	1.9	4.62
PMDCDLLF_00004	-0.4755	61346.367	1.4	5.32
PMDCDLLF_00005	-0.3755	38557.206	4.4	5.9
PMDCDLLF_00006	-0.1386	36440.704	7.2	6.66
PMDCDLLF_00007	-0.315	30227.392	5.5	5.17
PMDCDLLF_00008	-0.2835	46006.096	20	6.15
PMDCDLLF_00009	1.028	27933.536	30	6.84
PMDCDLLF_00010	-0.1702	39639.244	100	5.82
PMDCDLLF_00011	-0.2453	60206.953	1.4	5.05
PMDCDLLF_00012	0.5093	21647.608	1.9	8.63
PMDCDLLF_00013	-0.2661	17654.22	7.2	4.73
PMDCDLLF_00014	-0.3554	29840.176	1.1	8.96
PMDCDLLF_00015	-0.3327	13629.504	100	4.87
PMDCDLLF_00016	0.1777	44742.989	30	4.74
PMDCDLLF_00017	-0.0174	11295.037	7.2	9.09
PMDCDLLF_00018	-0.2707	21626.316	20	4.69
PMDCDLLF_00019	-0.4515	54928.42	7.2	5.85
PMDCDLLF_00020	-0.2642	161822.359	7.2	5.27
PMDCDLLF_00021	-0.3022	70818.089	1.9	10.5
PMDCDLLF_00022	-0.4576	8903.957	3.5	5.35
PMDCDLLF_00023	-0.4582	14865.072	30	10.42
PMDCDLLF_00024	-0.2675	77010.708	1.1	4.97
PMDCDLLF_00025	-0.2823	44947.839	4.4	4.93
PMDCDLLF_00026	-0.3809	12011.008	4.4	9.69
PMDCDLLF_00027	-0.3476	19799.502	30	4.58
PMDCDLLF_00028	-0.0087	30756.69	4.4	4.63
PMDCDLLF_00029	-0.3539	21413.521	1.3	7.84
PMDCDLLF_00030	-0.0603	23329.177	20	9.69
PMDCDLLF_00031	-0.6851	70393.757	20	6.07
PMDCDLLF_00032	-0.0558	40472.064	1.1	5.56
PMDCDLLF_00033	-0.1456	30903.442	4.4	5.55
PMDCDLLF_00034	-0.0639	17827.381	4.4	4.58
PMDCDLLF_00035	-0.4231	21156.053	20	4.84
PMDCDLLF_00036	-0.7037	48465.221	30	5.23
PMDCDLLF_00037	-0.7515	6989.837	1	6.24
PMDCDLLF_00038	-0.0535	8104.651	1	10.16
PMDCDLLF_00039	-0.0048	45425.963	1.3	5.4
PMDCDLLF_00040	-0.1898	73049.521	4.4	5.14
PMDCDLLF_00041	-0.9317	12765.378	1	4.97
PMDCDLLF_00042	-0.2678	19513.681	1	4.44
PMDCDLLF_00043	-0.3196	49914.591	4.4	5.18
PMDCDLLF_00044	-0.6561	17140.5	4.4	9.15
PMDCDLLF_00045	-0.5707	28929.449	0.8	5.51
PMDCDLLF_00046	-0.23	27888.178	20	5.5
PMDCDLLF_00047	-0.2364	38929.418	1.3	6.41
PMDCDLLF_00048	-0.6925	81173.155	1.4	5.21
PMDCDLLF_00049	-0.4894	23965.81	20	9.85
PMDCDLLF_00050	-0.7921	7193.725	20	4.07
PMDCDLLF_00051	-0.4571	27942.679	4.4	4.55
PMDCDLLF_00052	-0.8609	21696.092	1	5.24
PMDCDLLF_00053	0.7633	7752.028	4.4	9.19
PMDCDLLF_00054	-0.5033	12602.101	1.4	4.33
PMDCDLLF_00055	-0.2729	16713.825	1.1	4.27
PMDCDLLF_00056	-0.9459	65678.273	0.8	4.2
PMDCDLLF_00057	-0.7573	134555.455	1.9	4.53
PMDCDLLF_00058	-0.5292	15504.245	20	4.66
PMDCDLLF_00059	-0.5564	10181.294	1.4	4.16
PMDCDLLF_00060	-0.8583	20252.474	30	5.68
PMDCDLLF_00061	-0.823	22370.727	7.2	5.13
PMDCDLLF_00062	-0.8927	19780.701	100	4.55
PMDCDLLF_00063	0.1024	8631.655	7.2	5.09
PMDCDLLF_00064	-0.1146	37005.133	20	4.7
PMDCDLLF_00065	-0.6518	24178.006	1.1	4.48
PMDCDLLF_00066	-0.2106	26947.228	20	4.55
PMDCDLLF_00067	1.2036	6165.32	100	5.82
PMDCDLLF_00068	-0.0971	29092.489	4.4	9.57
PMDCDLLF_00069	0.5414	9841.437	4.4	9.68
PMDCDLLF_00070	-0.2718	14024.572	4.4	9.92
PMDCDLLF_00071	-0.6059	23429.8	1	5.01
PMDCDLLF_00072	-1.0891	7817.767	4.4	5.34
PMDCDLLF_00073	-0.2555	29185.94	1.9	4.01
PMDCDLLF_00074	0.0153	14393.762	4.4	3.98
PMDCDLLF_00075	-0.3057	10610.379	100	4.45
PMDCDLLF_00076	-0.3885	8080.01	1.9	4.56
PMDCDLLF_00077	-0.5666	30214.035	0.8	4.5
PMDCDLLF_00078	-0.2524	32603.845	1.9	3.89
PMDCDLLF_00079	-0.1526	15990.431	20	3.78
PMDCDLLF_00080	-0.23	14495.709	5.5	3.45
PMDCDLLF_00081	-0.1683	24429.352	7.2	5.23
PMDCDLLF_00082	-0.4044	24513.291	1	4.38
PMDCDLLF_00083	-0.1896	18612.588	20	4.98
PMDCDLLF_00084	-0.3196	19179.477	30	6.74
PMDCDLLF_00085	-0.5159	46993.023	4.4	4.63
PMDCDLLF_00086	-0.2877	20701.052	1.9	4.54
PMDCDLLF_00087	-0.3474	33830.377	30	3.83
PMDCDLLF_00088	-0.5404	8193.052	20	8.27
PMDCDLLF_00089	-0.3972	23849.947	30	4.5
PMDCDLLF_00090	-0.1425	11153.995	4.4	4.08
PMDCDLLF_00091	-0.3788	22816.749	30	4.01
PMDCDLLF_00092	-0.2828	10986.921	30	4.36
PMDCDLLF_00093	-0.5229	47534.306	20	5.01
PMDCDLLF_00094	0.2964	11779.622	20	5.56
PMDCDLLF_00095	-0.4703	15772.406	30	4.45
PMDCDLLF_00096	-0.7907	34369.895	1.4	5.3
PMDCDLLF_00097	-0.3845	20561.26	1	11.22
PMDCDLLF_00098	-0.2788	24687.255	1.1	4.15
PMDCDLLF_00099	-0.3879	12963.152	4.4	4.66
PMDCDLLF_00100	0.3141	14715.105	100	11.33
PMDCDLLF_00101	-0.444	7126.799	1.4	4.61
PMDCDLLF_00102	-0.127	14456.151	4.4	5.52
PMDCDLLF_00103	0.268	10178.646	4.4	11.3
PMDCDLLF_00104	-0.6724	22425.813	1.3	5.53
PMDCDLLF_00105	-0.8307	15284.598	5.5	4.23
PMDCDLLF_00106	-0.7999	29827.337	30	4.39
PMDCDLLF_00107	-0.6734	8040.249	20	6.81
PMDCDLLF_00108	-0.4535	12842.406	3.5	4.95
PMDCDLLF_00109	-0.3734	8906.932	7.2	4.1
PMDCDLLF_00110	-1.1384	12100.037	20	4.45
PMDCDLLF_00111	-0.3586	33261.338	1.1	4.96
PMDCDLLF_00112	-0.5199	12085.251	1.9	4.41
PMDCDLLF_00113	-0.8586	10411.302	20	4.56
PMDCDLLF_00114	-0.9031	17248.281	30	4.05
PMDCDLLF_00115	-0.2625	11935.364	1.3	4.65
PMDCDLLF_00116	-0.6461	20675.831	7.2	5.58
PMDCDLLF_00117	-0.6163	7675.228	7.2	4.04
PMDCDLLF_00118	-0.3238	12961.455	1.1	3.95
PMDCDLLF_00119	-1.0471	33766.293	7.2	3.83
PMDCDLLF_00120	-0.7203	5661.049	30	4.16
PMDCDLLF_00121	-0.6193	42973.989	1.4	4.46
PMDCDLLF_00122	-0.4844	11279.32	30	4.56
PMDCDLLF_00123	-0.815	10579.326	4.4	3.87
PMDCDLLF_00124	-0.8687	41125.508	7.2	5.15
PMDCDLLF_00125	-0.4028	11146.254	7.2	4.3
PMDCDLLF_00126	-0.7224	39470.275	4.4	4.26
PMDCDLLF_00127	-0.6659	11308.409	7.2	4.53
PMDCDLLF_00128	-0.9464	7958.762	1.9	5.63
PMDCDLLF_00129	-0.4688	13194.367	100	4.49
PMDCDLLF_00130	-0.6157	15420.026	7.2	5.06
PMDCDLLF_00131	-0.8499	12328.454	4.4	4.47
PMDCDLLF_00132	-0.4689	6483.177	20	4.37
PMDCDLLF_00133	-0.3899	11686.744	7.2	4.24
PMDCDLLF_00134	-0.6978	9916.717	1.1	4.78
PMDCDLLF_00135	-0.6044	238605.099	100	4.13
PMDCDLLF_00136	-1.0924	4391.536	4.4	3.75
PMDCDLLF_00137	-1.1229	6955.653	30	8.19
PMDCDLLF_00138	-0.0762	40009.765	1	5.9
PMDCDLLF_00139	-0.3883	13334.021	1.9	6.28
PMDCDLLF_00140	-0.2396	25489.684	5.5	5.67
PMDCDLLF_00141	-0.3255	15125.155	1.4	4.54
PMDCDLLF_00142	-0.4538	9911.125	7.2	4.6
PMDCDLLF_00143	-0.0377	24278.71	7.2	5.16
PMDCDLLF_00144	0.09	4731.656	1.3	9.23
PMDCDLLF_00145	-0.5385	35201.64	1	6.35
PMDCDLLF_00146	0.854	20068.976	7.2	9.16
PMDCDLLF_00147	-0.324	30964.757	1.2	5.55
PMDCDLLF_00148	-0.6985	42796.67	30	5.76
PMDCDLLF_00149	0.0103	3273.813	30	8.25
PMDCDLLF_00150	-0.293	19922.456	100	4.99
PMDCDLLF_00151	-0.3693	72444.271	1	4.87
PMDCDLLF_00152	-0.5413	6580.587	100	7.76
PMDCDLLF_00153	-0.3643	8302.558	20	8.03
PMDCDLLF_00154	0.6688	3584.247	5.5	4.86
PMDCDLLF_00155	0.8561	23914.622	0.8	8.84
PMDCDLLF_00156	-0.4963	50158.52	1.9	5.28
PMDCDLLF_00157	-0.1945	12275.293	30	8.73
PMDCDLLF_00158	-0.0067	14624.656	1.3	5.32
PMDCDLLF_00159	0.0144	22001.032	20	5.02
PMDCDLLF_00160	-0.2399	20029.362	20	4.4
PMDCDLLF_00161	-0.5288	29989.895	1.3	3.84
PMDCDLLF_00162	-0.2693	113172.452	1.9	5.2
PMDCDLLF_00163	0.6974	4458.368	5.5	8.18
PMDCDLLF_00164	0.1272	39508.921	4.4	9.35
PMDCDLLF_00165	0.2946	66115.116	7.2	9.42
PMDCDLLF_00166	-0.1096	71305.714	1.4	9.12
PMDCDLLF_00167	-0.0982	109820.283	100	9.46
