01100	Metabolism;Global and overview maps;Metabolic
01110	Metabolism;Global and overview maps;Biosynthesis
01120	Metabolism;Global and overview maps;Microbial
01130	Metabolism;Global and overview maps;Biosynthesis
01200	Metabolism;Global and overview maps;Carbon
01210	Metabolism;Global and overview maps;2-Oxocarboxylic
01212	Metabolism;Global and overview maps;Fatty
01230	Metabolism;Global and overview maps;Biosynthesis
01220	Metabolism;Global and overview maps;Degradation
00010	Metabolism;Carbohydrate metabolism;Glycolysis
00020	Metabolism;Carbohydrate metabolism;Citrate
00030	Metabolism;Carbohydrate metabolism;Pentose
00040	Metabolism;Carbohydrate metabolism;Pentose
00051	Metabolism;Carbohydrate metabolism;Fructose
00052	Metabolism;Carbohydrate metabolism;Galactose
00053	Metabolism;Carbohydrate metabolism;Ascorbate
00500	Metabolism;Carbohydrate metabolism;Starch
00520	Metabolism;Carbohydrate metabolism;Amino
00620	Metabolism;Carbohydrate metabolism;Pyruvate
00630	Metabolism;Carbohydrate metabolism;Glyoxylate
00640	Metabolism;Carbohydrate metabolism;Propanoate
00650	Metabolism;Carbohydrate metabolism;Butanoate
00660	Metabolism;Carbohydrate metabolism;C5-Branched
00562	Metabolism;Carbohydrate metabolism;Inositol
00190	Metabolism;Energy metabolism;Oxidative
00195	Metabolism;Energy metabolism;Photosynthesis
00196	Metabolism;Energy metabolism;Photosynthesis
00710	Metabolism;Energy metabolism;Carbon
00720	Metabolism;Energy metabolism;Carbon
00680	Metabolism;Energy metabolism;Methane
00910	Metabolism;Energy metabolism;Nitrogen
00920	Metabolism;Energy metabolism;Sulfur
00061	Metabolism;Lipid metabolism;Fatty
00062	Metabolism;Lipid metabolism;Fatty
00071	Metabolism;Lipid metabolism;Fatty
00072	Metabolism;Lipid metabolism;Synthesis
00073	Metabolism;Lipid metabolism;Cutin,
00100	Metabolism;Lipid metabolism;Steroid
00120	Metabolism;Lipid metabolism;Primary
00121	Metabolism;Lipid metabolism;Secondary
00140	Metabolism;Lipid metabolism;Steroid
00561	Metabolism;Lipid metabolism;Glycerolipid
00564	Metabolism;Lipid metabolism;Glycerophospholipid
00565	Metabolism;Lipid metabolism;Ether
00600	Metabolism;Lipid metabolism;Sphingolipid
00590	Metabolism;Lipid metabolism;Arachidonic
00591	Metabolism;Lipid metabolism;Linoleic
00592	Metabolism;Lipid metabolism;alpha-Linolenic
01040	Metabolism;Lipid metabolism;Biosynthesis
00230	Metabolism;Nucleotide metabolism;Purine
00240	Metabolism;Nucleotide metabolism;Pyrimidine
00250	Metabolism;Amino acid metabolism;Alanine,
00260	Metabolism;Amino acid metabolism;Glycine,
00270	Metabolism;Amino acid metabolism;Cysteine
00280	Metabolism;Amino acid metabolism;Valine,
00290	Metabolism;Amino acid metabolism;Valine,
00300	Metabolism;Amino acid metabolism;Lysine
00310	Metabolism;Amino acid metabolism;Lysine
00220	Metabolism;Amino acid metabolism;Arginine
00330	Metabolism;Amino acid metabolism;Arginine
00340	Metabolism;Amino acid metabolism;Histidine
00350	Metabolism;Amino acid metabolism;Tyrosine
00360	Metabolism;Amino acid metabolism;Phenylalanine
00380	Metabolism;Amino acid metabolism;Tryptophan
00400	Metabolism;Amino acid metabolism;Phenylalanine,
00410	Metabolism;Metabolism of other amino acids;beta-Alanine
00430	Metabolism;Metabolism of other amino acids;Taurine
00440	Metabolism;Metabolism of other amino acids;Phosphonate
00450	Metabolism;Metabolism of other amino acids;Selenocompound
00460	Metabolism;Metabolism of other amino acids;Cyanoamino
00471	Metabolism;Metabolism of other amino acids;D-Glutamine
00472	Metabolism;Metabolism of other amino acids;D-Arginine
00473	Metabolism;Metabolism of other amino acids;D-Alanine
00480	Metabolism;Metabolism of other amino acids;Glutathione
00510	Metabolism;Glycan biosynthesis and metabolism;N-Glycan
00513	Metabolism;Glycan biosynthesis and metabolism;Various
00512	Metabolism;Glycan biosynthesis and metabolism;Mucin
00515	Metabolism;Glycan biosynthesis and metabolism;Mannose
00514	Metabolism;Glycan biosynthesis and metabolism;Other
00532	Metabolism;Glycan biosynthesis and metabolism;Glycosaminoglycan
00534	Metabolism;Glycan biosynthesis and metabolism;Glycosaminoglycan
00533	Metabolism;Glycan biosynthesis and metabolism;Glycosaminoglycan
00531	Metabolism;Glycan biosynthesis and metabolism;Glycosaminoglycan
00563	Metabolism;Glycan biosynthesis and metabolism;Glycosylphosphatidylinositol
00601	Metabolism;Glycan biosynthesis and metabolism;Glycosphingolipid
00603	Metabolism;Glycan biosynthesis and metabolism;Glycosphingolipid
00604	Metabolism;Glycan biosynthesis and metabolism;Glycosphingolipid
00540	Metabolism;Glycan biosynthesis and metabolism;Lipopolysaccharide
00550	Metabolism;Glycan biosynthesis and metabolism;Peptidoglycan
00511	Metabolism;Glycan biosynthesis and metabolism;Other
00730	Metabolism;Metabolism of cofactors and vitamins;Thiamine
00740	Metabolism;Metabolism of cofactors and vitamins;Riboflavin
00750	Metabolism;Metabolism of cofactors and vitamins;Vitamin
00760	Metabolism;Metabolism of cofactors and vitamins;Nicotinate
00770	Metabolism;Metabolism of cofactors and vitamins;Pantothenate
00780	Metabolism;Metabolism of cofactors and vitamins;Biotin
00785	Metabolism;Metabolism of cofactors and vitamins;Lipoic
00790	Metabolism;Metabolism of cofactors and vitamins;Folate
00670	Metabolism;Metabolism of cofactors and vitamins;One
00830	Metabolism;Metabolism of cofactors and vitamins;Retinol
00860	Metabolism;Metabolism of cofactors and vitamins;Porphyrin
00130	Metabolism;Metabolism of cofactors and vitamins;Ubiquinone
00900	Metabolism;Metabolism of terpenoids and polyketides;Terpenoid
00902	Metabolism;Metabolism of terpenoids and polyketides;Monoterpenoid
00909	Metabolism;Metabolism of terpenoids and polyketides;Sesquiterpenoid
00904	Metabolism;Metabolism of terpenoids and polyketides;Diterpenoid
00906	Metabolism;Metabolism of terpenoids and polyketides;Carotenoid
00905	Metabolism;Metabolism of terpenoids and polyketides;Brassinosteroid
00981	Metabolism;Metabolism of terpenoids and polyketides;Insect
00908	Metabolism;Metabolism of terpenoids and polyketides;Zeatin
00903	Metabolism;Metabolism of terpenoids and polyketides;Limonene
00281	Metabolism;Metabolism of terpenoids and polyketides;Geraniol
01052	Metabolism;Metabolism of terpenoids and polyketides;Type
00522	Metabolism;Metabolism of terpenoids and polyketides;Biosynthesis
01051	Metabolism;Metabolism of terpenoids and polyketides;Biosynthesis
01059	Metabolism;Metabolism of terpenoids and polyketides;Biosynthesis
01056	Metabolism;Metabolism of terpenoids and polyketides;Biosynthesis
01057	Metabolism;Metabolism of terpenoids and polyketides;Biosynthesis
00253	Metabolism;Metabolism of terpenoids and polyketides;Tetracycline
00523	Metabolism;Metabolism of terpenoids and polyketides;Polyketide
01054	Metabolism;Metabolism of terpenoids and polyketides;Nonribosomal
01053	Metabolism;Metabolism of terpenoids and polyketides;Biosynthesis
01055	Metabolism;Metabolism of terpenoids and polyketides;Biosynthesis
00940	Metabolism;Biosynthesis of other secondary metabolites;Phenylpropanoid
00945	Metabolism;Biosynthesis of other secondary metabolites;Stilbenoid,
00941	Metabolism;Biosynthesis of other secondary metabolites;Flavonoid
00944	Metabolism;Biosynthesis of other secondary metabolites;Flavone
