=====Result of the physicochemical property for each protein======

Pro_id	Hydrophobicity	MW	Half_life	pI
HKGAJDFI_00001	-0.3597	43834.69	20	4.67
HKGAJDFI_00002	-0.3244	46983.097	1.9	5.44
HKGAJDFI_00003	-0.1012	66645.36	4.4	7.3
HKGAJDFI_00004	0.4	5026.844	1	8.51
HKGAJDFI_00005	-0.1888	52425.954	5.5	7.87
HKGAJDFI_00006	-0.3751	78990.994	1	8.7
HKGAJDFI_00007	0.2182	85293.33	4.4	5.53
HKGAJDFI_00008	-0.2203	10287.784	1.4	9.5
HKGAJDFI_00009	-0.7723	32247.736	1.9	9.01
HKGAJDFI_00010	-0.8046	36663.166	20	6.15
HKGAJDFI_00011	-0.3179	14310.377	1.3	6.18
HKGAJDFI_00012	-0.7679	47222.711	4.4	5.24
HKGAJDFI_00013	-0.1151	5068.833	1.1	4.77
HKGAJDFI_00014	-0.0328	21945.934	5.5	3.99
HKGAJDFI_00015	-0.5956	59446.618	1.9	4.6
HKGAJDFI_00016	-0.3077	32282.213	1.3	5.69
HKGAJDFI_00017	-0.5226	31202.191	1.2	8.76
HKGAJDFI_00018	0.7585	35987.939	1.3	9.72
HKGAJDFI_00019	-0.2895	44846.119	1	5.56
HKGAJDFI_00020	-0.3801	64148.015	1.9	4.56
HKGAJDFI_00021	-0.3622	40056.673	5.5	4.6
HKGAJDFI_00022	-0.241	37402.566	30	5.02
HKGAJDFI_00023	-0.2687	45000.303	1	5.13
HKGAJDFI_00024	-0.6524	11149.606	1.1	9.42
HKGAJDFI_00025	-0.1097	7239.429	2.8	6.81
HKGAJDFI_00026	-0.4032	57680.075	1	5.7
HKGAJDFI_00027	-0.4834	22405.48	1	6.64
HKGAJDFI_00028	0.392	58327.787	1	8.94
HKGAJDFI_00029	0.2446	36529.43	1.4	5.21
HKGAJDFI_00030	0.1728	34178.471	5.5	5.61
HKGAJDFI_00031	0.5561	45856.774	20	6.02
HKGAJDFI_00032	-0.0999	22458.846	1.3	9.74
HKGAJDFI_00033	-0.3842	31084.06	1.4	5.08
HKGAJDFI_00034	-0.2787	43795.774	1	6.39
HKGAJDFI_00035	0.4888	53021.351	1.4	9.6
HKGAJDFI_00036	-0.2008	36151.694	1	5.6
HKGAJDFI_00037	-0.246	57828.386	20	5.85
HKGAJDFI_00038	-0.5532	118695.61	5.5	4.48
HKGAJDFI_00039	-0.2704	49686.206	1.2	5.3
HKGAJDFI_00040	-0.4358	48989.897	1.9	5.1
HKGAJDFI_00041	-0.584	23167.941	20	4.87
HKGAJDFI_00042	-0.182	27102.937	20	6.39
HKGAJDFI_00043	0.1785	58556.202	1.4	5.48
HKGAJDFI_00044	0.5618	45990.611	1.1	6.89
HKGAJDFI_00045	0.6143	31680.303	1.9	6.11
HKGAJDFI_00046	-0.254	43364.988	1.9	5.27
HKGAJDFI_00047	-0.3321	48906.729	1.3	5.92
HKGAJDFI_00048	-0.6278	35084.651	100	6.01
HKGAJDFI_00049	-0.5018	30919.892	1.9	5.15
HKGAJDFI_00050	-0.6253	24471.588	1.4	7.71
HKGAJDFI_00051	-0.3468	46761.784	7.2	5.6
HKGAJDFI_00052	-0.1649	38026.3	1.4	4.84
HKGAJDFI_00053	-0.4876	27409.009	20	5.01
HKGAJDFI_00054	-0.7114	39821.073	1.4	6.57
HKGAJDFI_00055	-0.6415	34363.597	1.1	5.95
HKGAJDFI_00056	-0.4629	37446.166	1.9	5.34
HKGAJDFI_00057	-0.5179	14180.372	1.4	8.64
HKGAJDFI_00058	-0.5646	25127.395	3.5	8.76
HKGAJDFI_00059	0.1941	5406.203	30	4.93
HKGAJDFI_00060	-0.7561	47647.798	0.8	5.96
HKGAJDFI_00061	-0.4906	51075.837	1	4.62
HKGAJDFI_00062	-0.6251	36531.096	20	5.52
HKGAJDFI_00063	-0.5587	39063.361	7.2	6.9
HKGAJDFI_00064	-0.2767	35232.564	1.9	4.67
HKGAJDFI_00065	-0.4136	45663.193	1.1	4.87
HKGAJDFI_00066	-0.3215	31662.378	1.9	9.29
HKGAJDFI_00067	-0.5352	34967.986	1.3	8.97
HKGAJDFI_00068	-0.5477	22546.095	30	5.27
HKGAJDFI_00069	-0.3204	46148.373	1	6.5
HKGAJDFI_00070	-0.1621	32437.076	20	5.82
HKGAJDFI_00071	0.0462	67335.065	1.1	5.66
HKGAJDFI_00072	-0.0976	42395.026	20	4.71
HKGAJDFI_00073	-0.321	65729.226	1.2	5.76
HKGAJDFI_00074	-0.4661	39681.086	5.5	6.57
HKGAJDFI_00075	-0.2819	48770.567	1.9	5.8
HKGAJDFI_00076	-0.5024	40258.921	1.3	4.78
HKGAJDFI_00077	-1.107	9933.846	4.4	4.64
HKGAJDFI_00078	-0.3573	12792.568	20	6.26
HKGAJDFI_00079	-0.1937	12296.656	0.8	4.1
HKGAJDFI_00080	0.0021	68955.631	7.2	5.38
HKGAJDFI_00081	-0.3075	10362.716	1.9	5.22
HKGAJDFI_00082	0.355	16245.739	1.1	5.2
HKGAJDFI_00083	-0.5309	24621.74	20	4.92
HKGAJDFI_00084	-0.5465	21541.746	20	4.42
HKGAJDFI_00085	-0.5841	12685.949	4.4	5.32
HKGAJDFI_00086	-0.6712	10260.038	3.5	4.61
HKGAJDFI_00087	-0.6416	84134.905	30	4.76
HKGAJDFI_00088	-0.1042	25201.464	4.4	5.55
HKGAJDFI_00089	0.7879	47967.748	30	8.99
HKGAJDFI_00090	-0.3718	27095.892	1.1	4.67
HKGAJDFI_00091	-0.1388	37636.893	30	4.3
HKGAJDFI_00092	0.5651	34308.038	1.9	5.16
HKGAJDFI_00093	0.8675	31888.031	1	9.84
HKGAJDFI_00094	-0.4818	32743.829	1.9	4.66
HKGAJDFI_00095	-0.3668	27489.079	20	4.79
HKGAJDFI_00096	-0.1703	112173.812	1	3.75
HKGAJDFI_00097	-0.0769	83635.914	1	4.09
HKGAJDFI_00098	-0.3526	256678.673	20	3.68
HKGAJDFI_00099	-0.7946	15173.834	30	5.7
HKGAJDFI_00100	-0.3894	46278.637	3.5	5.32
HKGAJDFI_00101	-0.2741	49965.302	5.5	4.23
HKGAJDFI_00102	-0.418	13913.518	20	4.97
HKGAJDFI_00103	-0.5109	29006.359	0.8	6.3
HKGAJDFI_00104	0.0303	42663.938	1.1	4.41
HKGAJDFI_00105	-0.3285	47132.58	1	4.97
HKGAJDFI_00106	-0.539	14706.525	1.9	4.56
HKGAJDFI_00107	-0.1537	26071.889	20	9.64
HKGAJDFI_00108	-0.5524	4529.073	20	4.32
