	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
Cellular Processes;Cell motility;Flagellar	119.2864099573302	106.63012529734286	145.4824775783054	167.34398091141207	102.38375322124413	48.039064477820894	164.1490082274432	205.23319223245602	193.11270778361654	180.18945691568155	260.4049367037069	303.9078069589624	269.9881287775623	249.5648756848878	222.09500448607105	102.09977946694173	170.69201612243026	101.87239928907664	115.2247361478291	153.2220233235578
Cellular Processes;Cellular community - prokaryotes;Quorum	23050.152260860057	24217.227762096518	25381.792588123546	24493.228429682917	23984.001822061535	23199.499870462452	21052.28981591964	22257.960577534854	22647.785209899717	22050.34199628334	18951.245819696825	19357.592699910532	18429.95222065602	20927.05304706554	19248.356325974306	23067.586142656895	23262.205757074706	23718.56327854951	23473.85900953988	23951.39844704059
Environmental Information Processing;Membrane transport;ABC	24608.13447523527	23946.637286330464	26121.832633126913	25423.377553923696	24670.08066664206	24334.678104697334	24426.486271624904	24576.24339447424	24582.025003501596	24274.10799728014	22264.096562452425	22287.218689032874	22231.463480879487	23662.952085170244	22538.09607140278	24597.420438257126	24654.806667045556	24933.744547246744	25330.8199291804	25264.103550102693
Environmental Information Processing;Membrane transport;Bacterial	3359.486089232334	3538.5281968386726	3491.1889496080385	3748.8220911111557	3389.2361051675907	3026.3939481767643	3680.868220900689	3790.7998755535386	3619.311083880972	3582.7504404662154	4059.9636610666594	4035.6806388200253	4243.138420704713	4038.6053981951763	4180.103343420276	3551.962318786086	3579.5135808309315	3870.1789863769573	3684.587824786369	3640.1635177593676
Environmental Information Processing;Membrane transport;Phosphotransferase	358.8750140716621	293.6549241861123	347.5830675156136	354.29044540611113	337.81306983656805	383.50701322720187	351.1976450949518	382.999591419128	380.6323557954176	375.11586625195457	542.2426332459498	477.76735230511645	503.35231623238303	462.99453095660476	461.35474580850683	438.234921524898	395.39601465168147	441.26356038074925	400.45176514488827	460.6480966526264
Genetic Information Processing;Folding, sorting and degradation;Proteasome	1845.9705471417788	1958.2196441834594	1656.1229818294826	1662.2063761641446	1895.9721378343181	2010.930542276162	1420.276830370257	1454.8667857920475	1676.844060226808	1555.4187675700277	1211.284652076492	1355.3355418753717	1242.614970852477	1561.1470513119361	1230.4521053282956	1715.1764149147234	1760.4666802017082	1796.6365914137814	1555.7539979896228	1630.6896801114021
Genetic Information Processing;Folding, sorting and degradation;Protein	7191.872400152933	7643.934241350623	7125.316196190768	7281.65573981745	7341.834071443461	6948.183157496927	6921.088960764592	7084.800252942089	7177.764874901846	7032.035284919507	6883.9669521986725	6968.248471152749	6929.450402009597	7228.341051808121	6854.904752339142	7478.444694060665	7298.300971053	7480.735832637075	7475.036958285409	7268.675343537618
Genetic Information Processing;Folding, sorting and degradation;RNA	2729.5899103300308	2746.875892574296	2743.9891175964935	2806.7267186831064	2735.4585299410173	2356.4787014498856	3573.3894000113796	3497.63864317827	3101.5756920825447	3207.6553805614662	3971.069318820644	3858.9330794641705	4150.891931932544	3729.7165362224328	3862.7804517303557	2865.38737447207	2814.949270186958	3058.8971182551954	3004.2923502759836	3021.1762222983357
Genetic Information Processing;Folding, sorting and degradation;Sulfur	2864.931572396418	2862.9852635452494	2934.9254592823236	2968.5295815064414	2857.594628881624	2804.936821432844	2741.4027052428946	2832.128587997798	2904.5626001404476	2875.4474006314003	2854.1666144954957	3054.7084704932427	2887.1614549396827	2985.449315376256	2976.028385972151	3338.656179345579	3206.6610944195204	3209.938482090323	3182.6114168743234	2976.1349887644446
Genetic Information Processing;Replication and repair;All	26423.41424542599	28127.285543853795	27858.72570636779	27945.97279562685	26844.75787641262	25930.729761095365	25461.54723887562	26148.79438427144	27029.52004272015	26833.392899862272	30816.519278523567	28155.797077982894	28295.679349710903	27905.44578695687	28000.186995429227	27748.440468917215	27278.752114973508	28457.126316391288	28471.25500163413	28265.21302599759
Genetic Information Processing;Transcription;Basal	3723.18903646298	4019.12258313303	3790.7588648766096	3810.920188718432	3820.7309999475447	4186.819763347425	2983.7794177907404	3290.9598456879344	3693.7723940097085	3552.338415294125	2445.7601151948834	2831.2075184172572	2459.1318803283643	3193.229632908271	2709.7532517808454	3973.7223680110365	3861.5502147741154	3953.2610703016367	3675.736403707783	3673.19307087017
Genetic Information Processing;Translation;RNA	4638.657880330473	5173.352620450174	4600.993431017703	4529.659706116658	4751.578445277495	4840.9274641688235	3660.938740966752	3816.974272479914	4352.778069716723	4156.181260068429	3481.431484288408	3694.4125482484483	3446.1527468669824	4106.493621806824	3604.0844941710166	4832.993317390035	4648.175732386423	4766.944923413397	4597.708893115816	4472.389259536528
Genetic Information Processing;Translation;Ribosome	19475.95790685637	20865.83806858657	18242.673896714496	18386.38537865691	19717.78608821998	19799.144162082626	18729.972361522247	18751.989987329638	19196.406221906476	19133.630750974684	18163.292226549427	18130.576205813206	18567.20766455511	18284.87527148818	17770.638089761578	18115.2990968504	18152.62489397097	18333.7751369351	17918.95495134151	17559.908956065916
Metabolism;Carbohydrate metabolism;Butanoate	9514.045539379142	9728.948238162138	9841.248688186015	9724.218878875097	9692.185265362263	9500.53560839911	8500.45106041051	9105.084833941322	9239.509034705634	9054.670869969854	8914.791255677948	9181.876692462722	8916.105086054962	9310.420775433153	8996.969638657276	9709.032143217155	9928.451242800204	9633.62263658149	9448.382142842682	9593.904176866448
Metabolism;Carbohydrate metabolism;Citrate	8545.874085508813	8979.814211504396	8871.081675107196	8770.531452086649	8519.83007865509	8462.23679238385	8268.484432408666	8940.62661435541	8689.697214841806	8439.777167319786	9397.852251630353	9441.5927604251	9150.251889239127	9361.414153478825	9120.66506606386	9303.487953657404	9135.645503507416	9276.386672330147	9267.13425390208	9130.171092963648
Metabolism;Carbohydrate metabolism;Fructose	3003.0886722136242	2950.814655561516	3245.459806917811	3259.120035102104	3039.7650117319736	3104.9425475501785	3518.0378611254964	3443.313106422045	3265.4501479821347	3340.175014489451	3781.2516371067018	3896.0565621308206	4083.404249421359	3601.1740744892663	3937.8622043241376	3323.0793695111684	3212.6324972461225	3576.041677385415	3375.184773942282	3553.658312175339
Metabolism;Carbohydrate metabolism;Galactose	4293.647843550961	4436.3914966419525	4483.894647708935	4452.6698537056745	4471.783905659224	3953.9979687056675	4672.265858380903	4769.232019451861	4522.984967175631	4548.293454742124	4991.797145858771	4820.352359026911	4949.930510641115	4706.278682406231	4986.557242499003	4591.4988454943	4731.4523349161245	4569.0980383917795	4684.532193548451	4749.1495315438815
Metabolism;Carbohydrate metabolism;Glyoxylate	10835.81747698866	10446.636033559318	10229.639685882777	10131.745803522661	10671.068912052464	11245.168231079339	9752.617584118989	9782.97597709336	10239.50596789199	10079.220437105057	9386.839629176853	9704.059478742727	9122.290421994361	9767.300618181354	9364.298968917981	10777.150288149041	10580.321400421191	10387.820173672508	10428.170181658632	10240.854485964386
Metabolism;Carbohydrate metabolism;Pentose	8904.477444177955	8785.961226697156	8937.003782254551	8942.327562723687	9000.539593564856	8721.354820195545	9332.635257303853	9489.638100967255	9069.941158496193	9167.985088470796	10403.939067367695	10259.535632162737	10718.065317948336	10039.560174663382	10142.092388236235	9411.239926807422	9169.285848111514	9526.391372501841	9387.219065063808	9681.682840707108
Metabolism;Carbohydrate metabolism;Propanoate	10010.05651682985	9713.798231628287	9529.165766863238	9263.073297068759	9870.98238407417	10300.258622753623	8653.957481969586	9042.885004508506	9249.981672810429	9151.054071762786	8611.090795949814	8562.718824328469	8548.726270048548	8761.675952736463	8506.139240100318	8962.55022255561	9162.16690820117	8968.272747651132	8978.523246627577	8899.728896562903
Metabolism;Carbohydrate metabolism;Pyruvate	13305.007773298892	13303.472319473156	13090.203480609327	12885.689078299569	13117.989022309133	13436.716235053791	12408.448555902325	12717.073523824864	12857.524196967375	12809.470834074547	12704.615327928852	12877.572147953873	12627.207321049687	12893.178592994129	12812.664198077706	13303.34022119745	13405.441699516605	13283.897366201814	13205.177835912205	13141.226212443391
Metabolism;Carbohydrate metabolism;Starch	5300.008629595822	5411.867483803594	5917.419018326449	5923.943444017268	5431.32747930701	5007.125737740573	6318.163415160114	6152.106436344835	5802.352470746014	5967.223137464594	7556.156222727917	6703.397415386625	7479.484294962887	6344.599230798609	7134.895912844255	5387.586799058562	5280.31010683458	5360.465978830346	5784.915749196993	5909.442540855238
Metabolism;Energy metabolism;Carbon	15648.37161313815	15752.152868044575	15399.752086572295	15423.673861926007	15576.946897344185	15874.38611403433	14920.468959702472	15243.321113679065	15151.634076052755	15248.03188567973	15328.223551214654	15295.137082484913	15369.52548463633	15046.405626815533	15201.9424423547	15128.966985719606	15027.375764522581	15017.282099187947	15025.517529206863	14878.917574860869
Metabolism;Energy metabolism;Nitrogen	1892.3161882296588	1694.5311238208615	1789.933957562346	1780.1366440261	1793.7881785414465	1905.9155289219666	1869.3353136955848	1681.8977185778317	1755.5302679447568	1733.2684019281444	1380.24013962261	1562.3493845761082	1336.6487782768897	1616.833961827075	1540.238830710016	1871.4171285132993	1993.506584335922	1717.203954345793	1705.8702488152444	1719.7207390777892
Metabolism;Energy metabolism;Oxidative	8849.581374337984	9074.892494164545	8627.777575558177	8692.261214685856	9018.348544691335	8398.396300358874	9427.144729968062	9309.846622144252	9162.23918227621	8989.328423696334	8651.038315322898	8433.690838939374	8951.297689869205	8746.870453163621	8571.8328444386	8184.421126286095	8440.883267303721	8381.233103950566	8229.92155123354	8335.54296687744
Metabolism;Energy metabolism;Photosynthesis	1594.42920067023	837.8151812976721	1599.675716015865	1913.0673193032062	1143.5548856933501	936.5803389119908	4889.760550209354	3380.281881544205	2664.3478161152784	3146.8864035233214	3171.950646061905	2281.0823292051077	2996.5209180815395	2314.766686684877	2998.077308656428	1561.5665979898592	1623.863803818189	1140.5678574172052	1914.558978632847	1501.5142087838274
Metabolism;Glycan biosynthesis and metabolism;All	4275.031904145718	4581.50830370831	4982.472724247221	5086.327775906116	4389.084542633907	3400.722625813361	6158.592456300203	6395.013341935825	5297.957651351614	5506.622209325144	7920.314173865664	7196.634431343445	8240.268547416374	6946.974053131643	7283.099363967267	4796.188756894773	4841.02698411412	5216.135881136408	5300.6307881855955	5781.302005526454
Metabolism;Lipid metabolism;Arachidonic	6.279621608220356	3.025941394671173	4.63445067974785	4.640258120123968	3.344795875531559	5.572021213884029	6.768568146783218	6.472372676323763	6.023532546946611	6.155379436023487	9.284266114805641	13.591593280517646	18.372043042036807	28.33005710820965	7.184368706219481	7.028365349705524	7.915216483901595	13.466334350568905	8.694961169943502	9.065629529525678
Metabolism;Lipid metabolism;Fatty	12009.947654436748	11645.728900385078	12123.506879864353	11738.169539450788	11899.216732802075	12464.328490273405	10623.418155903812	11125.143237984295	11377.58477177731	11264.617557362004	10430.441682718558	10565.411180761655	10512.541111459273	10971.900474202832	10612.330555237757	10841.87281176479	11503.818364363846	11011.066724490009	11118.436093107415	11297.908273263927
Metabolism;Lipid metabolism;Glycerolipid	2486.3100758036344	2369.4959266124943	2433.756809179937	2467.089369402181	2433.215732818666	2710.2735701211914	2967.5041441774183	2811.028824393704	2648.104571968632	2713.794982209484	2683.027716520785	2658.901289331606	2720.0686182519175	2636.066354507338	2711.2450291913005	2552.7798214917693	2516.303072469357	2401.563011189752	2452.5970218559028	2544.356359454978
Metabolism;Lipid metabolism;Sphingolipid	1470.7319557452745	1501.420202073523	1588.7772922992228	1516.3408345956295	1604.9610398657849	1341.9676667863987	1589.8745775471875	1713.1018973169967	1458.4670718286748	1544.2499080585399	1777.5850942538896	1543.9607754972442	1895.789047399777	1650.1868084319833	1674.5227181628627	1145.5097038919275	1275.3361146029295	1400.8878241281272	1455.9254972609863	1545.9059675417716
Metabolism;Lipid metabolism;Steroid	1217.024640451597	1209.8589035482432	1168.6412716638392	1150.708314599593	1314.4714681233152	1226.2782785369398	1294.133357894067	1327.3184391920706	1134.1783736186499	1206.8669164020796	1135.413166275275	1120.6312561287862	1302.8221225503903	1225.3132628666788	1212.888938871709	929.6761049161084	927.2523851569623	1094.2934898445467	1131.2493569416504	1146.5230183067076
Metabolism;Lipid metabolism;Synthesis	1779.3143255219886	1758.9314673577524	1736.9295729815226	1673.392003044998	1775.741721941505	1617.7193298526154	1339.9650484679782	1441.0715984794763	1588.5152294763502	1565.445466657817	1392.478328155863	1476.7474469043743	1357.0972458142717	1512.125908548977	1470.2506317328575	1717.105057468413	1674.9416707405958	1717.3208855772602	1697.8867471557937	1686.3617860581678
Metabolism;Metabolism of cofactors and vitamins;All	42621.69997046143	41849.514042550356	42407.71573539557	42890.30185655968	42473.359624905424	42893.16472625602	43911.17713583244	42792.14403214347	43106.35220393675	43754.62227115817	42410.87030605922	42078.699873802674	42679.248249061064	41381.85367412026	42648.61419594785	42229.25709872438	42155.02215559278	41636.58682307478	41642.791312911955	41978.09572462838
Metabolism;Metabolism of other amino acids;All	12866.525680899267	12272.995333917379	12424.647103921134	12532.95989202883	12749.761527709139	13364.372277359564	13932.249540694685	13402.91904673954	13016.150425571905	13318.229204637833	14070.73641862411	13897.841876258028	14197.99657174382	13318.0677681291	13669.001808660965	12387.87975811603	12655.55051140593	12548.931196797503	12620.978286821277	12688.348957406994
Metabolism;Nucleotide metabolism;Purine	19606.200498135357	20800.325954659576	20127.416699150734	20224.320535505332	19980.715007079718	19470.02507446884	20168.603381213226	20247.106379401608	20039.504057769813	19944.00310807133	21414.986458375657	20870.744797333795	20746.411743199675	20622.111585796512	20643.846312729584	20466.11838344837	20151.86820836217	20975.73473751353	20982.111483367873	20355.256928037907
Metabolism;Nucleotide metabolism;Pyrimidine	15380.852460052423	16882.802393314185	16108.626761519972	16239.800052127017	15904.68907077263	15786.376656280001	15902.550534139196	16333.149259620923	15910.345036692031	15982.883075328933	17915.05177118452	17105.32508692397	17171.13569730565	16886.618186127762	17144.740725267224	16425.020575728446	16200.095906485249	17023.957974195928	16960.320880112675	16907.627637711248
Metabolism;Xenobiotics biodegradation and metabolism;All	20771.54713429952	19431.46109122001	19596.157533954425	19345.389040894283	20405.889346135908	22784.888152235166	20031.91857759072	19075.03279434582	19779.476978281175	19948.40716409954	16189.368672362176	17138.711034593667	16508.93270717916	17813.31662407481	17257.451477833383	18796.151638767602	19203.840200195962	18767.889370945915	18194.976876572597	18222.171796991184
