=====Result of the physicochemical property for each protein======

Pro_id	Hydrophobicity	MW	Half_life	pI
KLCMDANE_00001	-0.3889	45706.953	1.4	9.54
KLCMDANE_00002	-0.3044	43298.456	1.9	4.58
KLCMDANE_00003	-0.4784	61296.264	1.4	5.37
KLCMDANE_00004	-0.3755	38557.206	4.4	5.9
KLCMDANE_00005	-0.1461	36470.73	7.2	6.66
KLCMDANE_00006	-0.315	30227.392	5.5	5.17
KLCMDANE_00007	-0.2851	45998.114	20	6.1
KLCMDANE_00008	1.0374	27961.59	30	6.84
KLCMDANE_00009	-0.1702	39639.244	100	5.82
KLCMDANE_00010	-0.2453	60206.953	1.4	5.05
KLCMDANE_00011	0.5073	21647.651	1.9	9
KLCMDANE_00012	-0.2661	17654.22	7.2	4.73
KLCMDANE_00013	-0.3554	29840.176	1.1	8.96
KLCMDANE_00014	-0.3327	13629.504	100	4.87
KLCMDANE_00015	0.1853	44802.146	30	4.82
KLCMDANE_00016	-0.0135	11280.967	7.2	8.03
KLCMDANE_00017	-0.2707	21626.316	20	4.69
KLCMDANE_00018	-0.437	54875.371	7.2	5.76
KLCMDANE_00019	-0.2642	161822.359	7.2	5.27
KLCMDANE_00020	-0.3104	70876.126	1.9	10.45
KLCMDANE_00021	-0.4576	8903.957	3.5	5.35
KLCMDANE_00022	-0.4582	14865.072	30	10.42
KLCMDANE_00023	-0.2675	77010.708	1.1	4.97
KLCMDANE_00024	-0.2823	44947.839	4.4	4.93
KLCMDANE_00025	-0.3809	12011.008	4.4	9.69
KLCMDANE_00026	-0.3476	19799.502	30	4.58
KLCMDANE_00027	-0.0087	30756.69	4.4	4.63
KLCMDANE_00028	-0.3539	21413.521	1.3	7.84
KLCMDANE_00029	-0.0004	23226.094	20	9.58
KLCMDANE_00030	-0.6851	70393.757	20	6.07
KLCMDANE_00031	-0.0909	44678.866	3.5	5.67
KLCMDANE_00032	-0.1442	30903.398	4.4	5.41
KLCMDANE_00033	-0.0639	17827.381	4.4	4.58
KLCMDANE_00034	-0.4231	21156.053	20	4.84
KLCMDANE_00035	-0.7037	48465.221	30	5.23
KLCMDANE_00036	-0.1093	35005.631	4.4	5.71
KLCMDANE_00037	-0.0069	45436.001	1.3	5.41
KLCMDANE_00038	-0.1898	73049.521	4.4	5.14
KLCMDANE_00039	-0.9317	12765.378	1	4.97
KLCMDANE_00040	-0.2754	19561.725	1	4.44
KLCMDANE_00041	-0.3196	49914.591	4.4	5.18
KLCMDANE_00042	-0.6561	17140.5	4.4	9.15
KLCMDANE_00043	-0.5707	28928.464	0.8	5.62
KLCMDANE_00044	-0.2027	28045.452	30	5.5
KLCMDANE_00045	-0.2364	38929.418	1.3	6.41
KLCMDANE_00046	-0.6848	80870.827	1.4	5.21
KLCMDANE_00047	-0.537	24510.513	20	9.89
KLCMDANE_00048	-0.5219	45260.832	4.4	4.76
KLCMDANE_00049	0.0805	47894.962	3.5	5.81
KLCMDANE_00050	-0.0426	24161.961	20	5.85
KLCMDANE_00051	-0.797	11326.502	1.9	5.02
KLCMDANE_00052	-0.1695	23775.829	20	4.97
KLCMDANE_00053	0.7667	24003.524	7.2	9.06
KLCMDANE_00054	0.0506	35583.861	1.3	6.01
KLCMDANE_00055	-0.0909	35001.069	1	5.53
KLCMDANE_00056	-0.2981	30573.218	1.4	6.1
KLCMDANE_00057	0.9275	35988.954	1.4	9.5
KLCMDANE_00058	-0.3128	17657.37	0.8	6.58
KLCMDANE_00059	-0.7056	25715.281	4.4	4.5
KLCMDANE_00060	-0.3651	18770.491	7.2	4.7
KLCMDANE_00061	-0.3099	7243.309	1.3	9.29
KLCMDANE_00062	1.369	4658.661	4.4	7.97
KLCMDANE_00063	-0.6372	44721.983	1.3	4.9
KLCMDANE_00064	-0.7035	15984.795	1	5.03
KLCMDANE_00065	-0.2976	68155.575	1.9	5.73
KLCMDANE_00066	-0.1799	65458.317	1.1	5.47
KLCMDANE_00067	0.273	14367.531	5.5	4.9
KLCMDANE_00068	-0.0749	40592.87	4.4	5.78
KLCMDANE_00069	-0.0716	33641.293	30	6.14
KLCMDANE_00070	-0.1339	11337.781	1.1	5.71
KLCMDANE_00071	-0.2401	18560.216	7.2	3.98
KLCMDANE_00072	-0.399	23342.481	1.3	4.12
KLCMDANE_00073	-0.1024	41703.795	20	4.79
KLCMDANE_00074	-0.4905	20152.592	7.2	4.79
KLCMDANE_00075	0.0769	23852.526	20	4.03
KLCMDANE_00076	-0.6168	7546.054	1.4	4.19
KLCMDANE_00077	-0.1855	49263.724	20	4.52
KLCMDANE_00078	0.1467	29407.906	20	4.25
KLCMDANE_00079	-0.463	50409.672	1.9	4.64
KLCMDANE_00080	-0.8408	10968.96	1.2	4.12
KLCMDANE_00081	-0.0324	28144.167	1.9	4.28
KLCMDANE_00082	-0.2683	69950.513	1.1	4.18
KLCMDANE_00083	-1.1752	8408.836	4.4	4.17
KLCMDANE_00084	-0.3338	70088.503	1.9	4.38
KLCMDANE_00085	-0.6253	57366.35	100	3.88
KLCMDANE_00086	-0.2475	25418.094	7.2	3.8
KLCMDANE_00087	-0.2206	38960.015	0.8	4.46
KLCMDANE_00088	-0.2697	19306.148	1	4.41
KLCMDANE_00089	0.9249	21073.757	7.2	5.81
KLCMDANE_00090	1.2318	9253.29	1.1	8.13
KLCMDANE_00091	-0.3309	19902.395	7.2	3.98
KLCMDANE_00092	1.0553	30974.64	1.9	9.38
KLCMDANE_00093	-0.5302	29524.603	2.8	4.71
KLCMDANE_00094	-0.0703	39505.216	1.1	4.43
KLCMDANE_00095	1.441	4225.128	1.1	3.56
KLCMDANE_00097	0.2842	10402.031	4.4	10
KLCMDANE_00098	0.0057	42640.857	20	4.53
KLCMDANE_00099	-0.3307	15627.362	2.8	4.73
KLCMDANE_00100	0.6293	48427.089	5.5	9.57
KLCMDANE_00101	-0.7781	42358.311	1.9	4.61
KLCMDANE_00102	-0.1733	32775.492	7.2	4.92
KLCMDANE_00103	-0.1923	27100.685	7.2	4.69
KLCMDANE_00104	-0.2523	29474.673	1.9	4.53
KLCMDANE_00105	-0.0908	45060.568	7.2	4.89
KLCMDANE_00106	-0.211	32699.023	20	4.5
KLCMDANE_00107	-0.1591	41888.168	4.4	4.21
KLCMDANE_00108	0.4933	16155.504	7.2	11.44
KLCMDANE_00109	0.3171	21950.665	4.4	4.14
KLCMDANE_00110	-0.3131	50447.391	7.2	4.85
KLCMDANE_00111	0.6167	3820.463	7.2	4.93
KLCMDANE_00112	0.8435	32059.791	100	10.1
KLCMDANE_00113	-0.2276	57475.206	7.2	4.34
KLCMDANE_00114	-0.461	77777.738	4.4	4.44
KLCMDANE_00115	-0.138	33901.742	1.9	4.38
KLCMDANE_00116	-0.4242	36586.606	100	4.55
KLCMDANE_00117	-0.0557	33428.14	1.1	4.4
KLCMDANE_00118	-0.3402	39519.362	1.9	4.6
KLCMDANE_00119	-0.473	8119.319	100	8.09
KLCMDANE_00120	-0.2108	42885.981	4.4	4.21
KLCMDANE_00121	0.6933	34774.85	4.4	5.23
KLCMDANE_00122	0.8557	35313.476	4.4	4.91
KLCMDANE_00123	-0.3334	53723.891	3.5	4.82
KLCMDANE_00124	0	3544.127	100	8.01
KLCMDANE_00125	-0.0348	15726.445	4.4	4.36
KLCMDANE_00126	-0.2655	38234.393	1.4	4.67
KLCMDANE_00127	-0.4535	6143.788	5.5	4.35
KLCMDANE_00128	-0.1034	5934.539	4.4	4.1
KLCMDANE_00129	-0.0672	36965.699	7.2	4.61
KLCMDANE_00130	-0.0598	36276.54	7.2	4.45
KLCMDANE_00131	-0.6595	10130.104	4.4	4.24
KLCMDANE_00132	-1.0416	3954.173	2.8	4.82
KLCMDANE_00133	-0.4933	46599.63	7.2	4.99
KLCMDANE_00134	0.5005	20650.004	2.8	6.96
KLCMDANE_00135	0.1251	22362.723	1.1	4.46
KLCMDANE_00136	0.5033	12653.855	1.9	12.22
KLCMDANE_00137	0.0029	29430.883	1.9	4.38
KLCMDANE_00138	-0.4909	10359.211	1.9	4.2
KLCMDANE_00139	-0.2977	29998.392	0.8	4.43
KLCMDANE_00140	-0.2608	25336.042	1.1	4.27
KLCMDANE_00141	-0.271	34184.432	1.3	4.15
KLCMDANE_00142	0.6723	46386.58	7.2	4.22
KLCMDANE_00143	-1.228	18771.621	4.4	4.32
KLCMDANE_00144	-0.2588	49904.326	20	4.46
KLCMDANE_00145	-0.305	36862.59	5.5	4.87
KLCMDANE_00146	-0.0828	18189.441	1.1	4.74
KLCMDANE_00147	-0.119	59783.65	7.2	4.44
KLCMDANE_00148	-0.5681	19762.239	4.4	4.11
KLCMDANE_00149	-0.5603	30817.38	30	5.05
KLCMDANE_00150	-0.635	14807.907	5.5	4.22
KLCMDANE_00151	-0.2684	36387.485	7.2	4.6
KLCMDANE_00152	0.0475	26911.682	7.2	4.11
KLCMDANE_00153	-0.6481	20389.05	4.4	4.25
KLCMDANE_00154	0.8322	17341.018	1.9	4.93
KLCMDANE_00155	0.9112	10233.072	7.2	6.11
KLCMDANE_00156	0.1624	9007.33	0.8	4.88
KLCMDANE_00157	-0.0361	31023.705	1.9	4.66
KLCMDANE_00158	-0.2838	88219.686	0.8	4.9
KLCMDANE_00159	-0.2834	118365.242	7.2	5.77
KLCMDANE_00160	-0.0977	20341.883	1.1	4.81
KLCMDANE_00161	-0.1093	43654.757	20	8.75
KLCMDANE_00162	-0.3946	48860.638	1.3	8.8
KLCMDANE_00163	-0.2681	47576.721	1.3	8.69
KLCMDANE_00164	0.2605	39068.83	5.5	9.77
KLCMDANE_00165	-0.1658	45641.176	4.4	7.13
KLCMDANE_00166	-0.0945	43485.854	7.2	7.18
KLCMDANE_00167	0.867	39358.597	30	9.24
KLCMDANE_00168	-0.0923	44684.235	4.4	7.76
KLCMDANE_00169	-0.1456	21779.047	1.3	4.44
KLCMDANE_00170	-0.359	31886.629	20	9.24
KLCMDANE_00171	0.6065	51244.276	1.9	8.46
KLCMDANE_00172	-0.2952	43450.755	3.5	7.29
KLCMDANE_00173	-0.0711	42394.801	20	8.46
KLCMDANE_00174	-0.2302	46366.239	1	6.71
KLCMDANE_00175	-0.0331	43554.066	30	6.04
KLCMDANE_00176	-0.3941	67957.888	1.9	5.16
KLCMDANE_00177	-0.2189	48040.3	20	8.95
KLCMDANE_00178	-0.1961	32988.941	1.9	6.5
KLCMDANE_00179	-0.2651	59377.886	30	6.39
KLCMDANE_00180	-0.3735	78758.746	7.2	4.87
KLCMDANE_00181	-0.4722	11472.487	4.4	3.72
KLCMDANE_00182	-0.5088	39180.96	3.5	5
KLCMDANE_00183	-0.5373	102296.477	1.4	9.05
KLCMDANE_00184	-0.3598	29849.851	0.8	4.6
KLCMDANE_00185	0.6889	13177.765	0.8	9.67
KLCMDANE_00186	0.6785	27152.825	1	4.68
KLCMDANE_00187	-0.5444	18451.526	7.2	4.46
KLCMDANE_00188	-0.5625	20281.885	1	5.1
KLCMDANE_00189	-0.1053	20421.535	1.3	5.56
KLCMDANE_00190	-0.1291	54849.305	4.4	4.82
KLCMDANE_00191	-0.237	35084.829	4.4	4.97
KLCMDANE_00192	-0.4247	11502.692	1.9	4.44
KLCMDANE_00193	-0.2894	55380.144	7.2	5.64
KLCMDANE_00194	0.1043	37552.767	1.4	5.85
KLCMDANE_00195	1.057	18467.226	100	9.57
KLCMDANE_00196	0.1035	18987.849	4.4	6.5
KLCMDANE_00197	-0.1096	7263.589	1	11.08
KLCMDANE_00198	-0.097	89748.221	100	5.15
KLCMDANE_00199	0.4061	5391.153	1.9	5.2
KLCMDANE_00200	-0.342	49926.321	100	5.71
KLCMDANE_00201	-0.2707	39525.702	7.2	4.94
KLCMDANE_00202	0.1161	3765.651	1	11.73
KLCMDANE_00203	-0.1912	65136.198	20	5.94
KLCMDANE_00204	-0.1658	52537.261	20	8.63
KLCMDANE_00205	0.8267	30870.451	2.8	7.58
KLCMDANE_00206	-0.4586	37557.301	1.9	5.02
KLCMDANE_00207	-0.0703	51622.87	1	5.92
KLCMDANE_00208	-0.1959	35310.829	20	4.06
KLCMDANE_00209	-0.5345	117836.767	7.2	5.09
KLCMDANE_00210	-0.6513	69564.558	7.2	4.61
KLCMDANE_00211	-0.6017	56773.289	1.4	4.55
KLCMDANE_00212	-0.6129	114487.053	100	4.51
KLCMDANE_00213	-0.2745	21587.799	7.2	10.57
KLCMDANE_00214	-0.4917	118196.891	7.2	4.56
