=====Result of the physicochemical property for each protein======

Pro_id	Hydrophobicity	MW	Half_life	pI
COGLBCDM_00001	-0.1006	16126.694	30	8.43
COGLBCDM_00002	-0.556	44083.033	30	6.66
COGLBCDM_00003	-0.2822	8602.749	4.4	5.03
COGLBCDM_00004	-0.6735	9690.893	30	9.59
COGLBCDM_00005	-0.3759	78194.05	7.2	6.44
COGLBCDM_00006	-0.3544	56711.981	1.9	9.3
COGLBCDM_00007	-0.4103	67925.876	1.9	4.91
COGLBCDM_00008	-0.898	24665.745	4.4	5.38
COGLBCDM_00009	-0.2252	10478.877	1.3	5.18
COGLBCDM_00010	0.1949	13320.33	1.1	4.62
COGLBCDM_00011	-0.2049	33640.092	1.9	4.86
COGLBCDM_00012	-0.482	29636.979	7.2	4.67
COGLBCDM_00013	0.34	11975.291	4.4	10.09
COGLBCDM_00014	-0.5542	9396.691	4.4	6.24
COGLBCDM_00015	-0.5352	28126.383	1.1	4.73
COGLBCDM_00016	-0.5094	10689.576	7.2	3.75
COGLBCDM_00017	0.0383	8812.048	20	6.47
COGLBCDM_00018	-0.0581	10854.646	1	6.89
COGLBCDM_00019	-0.7917	11043.33	7.2	7.05
COGLBCDM_00020	0.0043	7321.437	1.1	8.24
COGLBCDM_00021	-0.353	7138.966	4.4	4.78
COGLBCDM_00022	-0.9541	11157.901	1.2	3.92
COGLBCDM_00023	-0.8445	9276.168	4.4	4.79
COGLBCDM_00024	-0.2802	7829.645	1.9	4.43
COGLBCDM_00025	-0.9127	10941.329	4.4	7.65
COGLBCDM_00026	-0.6523	9071.046	1.4	5.32
COGLBCDM_00027	-0.2553	31452.725	100	4.49
COGLBCDM_00028	1.4186	7423.956	4.4	8.16
COGLBCDM_00029	-0.7327	13837.089	20	5.09
COGLBCDM_00030	-0.9429	15311.645	1.1	5.23
COGLBCDM_00031	-1.0531	17950.651	1.9	5.27
COGLBCDM_00032	-0.5275	15628.685	4.4	4.18
COGLBCDM_00033	-0.507	78897.541	1.9	4.53
COGLBCDM_00034	-0.4316	13023.35	0.8	4.16
COGLBCDM_00035	-0.5419	5586.288	1.9	6.07
COGLBCDM_00036	-0.1008	12038.157	7.2	4.23
COGLBCDM_00037	-0.5722	30381.24	30	4.44
COGLBCDM_00038	-0.4242	34519.223	1.3	6.33
COGLBCDM_00039	-1.4642	6310.819	20	9.57
COGLBCDM_00040	-0.6129	42067.781	20	4.63
COGLBCDM_00041	-0.8973	34323.799	4.4	4.7
COGLBCDM_00042	-0.0582	15253.094	7.2	4.38
COGLBCDM_00043	0.0876	20936.354	5.5	10.57
COGLBCDM_00044	0.6105	8673.042	1.9	5.98
COGLBCDM_00045	0.0613	8047.221	1	4.64
COGLBCDM_00046	0.5694	7676.948	1.1	4.23
COGLBCDM_00047	-0.4583	30785.341	4.4	5.3
COGLBCDM_00048	0.0145	7048.115	4.4	5.63
COGLBCDM_00049	-0.4213	12681.244	20	4.69
COGLBCDM_00050	-1.0821	40722.133	20	4.21
COGLBCDM_00051	-0.4096	44632.661	4.4	4.59
COGLBCDM_00052	-0.7342	19355.844	1.9	9
COGLBCDM_00053	-0.2905	24743.708	4.4	4.84
COGLBCDM_00054	-0.4141	25861.065	0.8	4.93
COGLBCDM_00055	-0.3755	57620.936	20	4.88
COGLBCDM_00056	-0.2542	11575.824	100	4.26
COGLBCDM_00057	-0.965	14516.367	5.5	11.3
COGLBCDM_00058	-0.7945	53930.793	4.4	4.97
COGLBCDM_00059	-0.2322	33005.946	1.9	6.75
COGLBCDM_00060	-0.2645	59391.913	30	6.39
COGLBCDM_00061	-0.3771	78788.773	7.2	4.87
COGLBCDM_00062	-0.4722	11472.487	4.4	3.72
COGLBCDM_00063	-0.5372	13263.969	3.5	5.06
COGLBCDM_00064	0.1161	6015.847	4.4	4.42
COGLBCDM_00065	-0.5302	102242.4	1.4	8.95
COGLBCDM_00066	-0.3843	29851.823	0.8	4.6
COGLBCDM_00067	0.6974	13143.747	0.8	9.67
COGLBCDM_00068	0.6785	27152.825	1	4.68
COGLBCDM_00069	-0.5469	18466.537	7.2	4.42
COGLBCDM_00070	-0.5625	20281.885	1	5.1
COGLBCDM_00071	-0.0934	20470.607	1.3	5.56
COGLBCDM_00072	-0.1291	54849.305	4.4	4.82
COGLBCDM_00073	-0.2374	35183.964	4.4	4.97
COGLBCDM_00074	-0.4066	11528.727	1.9	4.33
COGLBCDM_00075	-0.2894	55380.144	7.2	5.64
COGLBCDM_00076	0.0923	37612.847	1.4	5.98
COGLBCDM_00077	1.057	18467.226	100	9.57
